,PCE,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,"Housing Starts, Northeast","Housing Starts, Midwest","Housing Starts, South","Housing Starts, West",New Private Housing Permits (SAAR),"New Private Housing Permits, Northeast (SAAR)","New Private Housing Permits, Midwest (SAAR)","New Private Housing Permits, South (SAAR)","New Private Housing Permits, West (SAAR)",New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Sentiment Index,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
1981-04-01,1.6723149508534263,0.6633245622978734,0.8657900840054467,0.363536295904332,-0.9181427589204816,-0.4724965284276905,0.6709840795842581,0.7394204506960378,0.7358439010059836,0.5636689610480694,1.9495929656580648,0.03564541263259,0.7354266344121285,0.6002600504467992,0.7815997244362549,0.4774854717803478,0.579647762800084,-5.378393870804565,-0.2019999999999981,-24.0,-0.009941113,-0.1447345020324064,-0.2718191140393955,0.0999999999999996,-0.3000000000000007,0.3599284029647265,-1.0349916442920382,-1.1489300047755613,6.223416843837004,-8.038513824908389,6.069679532157224,0.3065136499376564,0.3588150592557682,2.6814692843794674,-1.9525140776377012,0.7586316969428353,0.8903406130579938,0.5400041543467182,0.2876155983603468,0.4953437146038908,0.5921427991028239,0.6000172346292132,0.5048554412381279,-0.8197019796055471,39.6,0.0,40.0,6.951772164398911,4.61512051684126,5.062595033026967,6.297109319933935,5.493061443340548,6.883462586413092,4.691347882229144,4.919980925828125,6.144185634125646,5.575949103146316,2.654334074610354,-3.769329564577717,1.0675042412843894,1.6489237909514287,0.0206622519999999,-1.0690279076424505,-0.2359965775938555,-0.0866551180742192,4.2355502029364445,-0.7751937984496138,3.5376126386368334,0.7082962227944911,-0.2593586471823172,-0.001065995,-0.6779686985378675,-1.5348983348815182,0.1152172579999994,0.1638315017038483,4.400000000000002,2.380000000000001,1.370000000000001,1.2799999999999994,1.1499999999999986,0.5399999999999991,0.3500000000000014,0.4199999999999999,0.4600000000000008,-2.78,-4.37,-5.01,-4.24,-5.15,-5.63,-5.35,-3.3,7.626125711527476,7.1113947734406935,-12.289262189223283,1.060331370358622,-1.227269441267964,-1.3221664169292602,-0.8821827308513441,-0.0112309126811815,-8.073546835243706,4.190744257150669,-0.3926188706179445,-0.3265379824984649,-4.624950101477587,0.2960833322912748,-1.340764383874049,1.576895483082108,0.9659292221880555,-0.5191925179463652,-1.7404348778139678,-0.6152046103790276,-1.376102124474876,1.0485709242069596,-3.3892683273094804,-0.753268428678755,-0.2863420451310716,0.4558254795167471,0.084057543690319,6.599999999999994,-1.72423116064504,0.3397113602430224,-0.2863681642208071
1981-07-01,2.095236106787013,1.72090745027198,1.4528369104029435,-0.2325109310340689,-0.8618234830017002,1.9348210896023232,0.0334994676328026,0.4164895590094808,0.5158034078246665,-0.0081643278993404,-2.4470918837761424,0.9185133822820823,0.0738559585555354,-0.3348223476060674,-1.172812472064555,-0.8952140771093298,-0.1883491442900453,5.344793730187369,-0.7646000000000015,-265.0,-0.0398523009999999,-0.0941437145540291,-0.2335773314188216,0.0999999999999996,-0.0999999999999996,4.4790158836084615,4.912698792463477,0.4876977079503852,1.759060308959448,-0.8046534251213266,8.888606208694227,-0.0142102127943744,-0.329897206411367,4.829983525213777,-1.331017898695208,-0.4106562929507618,-0.555533243601225,-0.1702128070530051,0.0996527111404077,0.0751637531360316,0.0997960771851325,0.0913264020793391,0.4059153152461192,-0.795282228257399,39.4,-0.2999999999999998,39.6,6.814542897259958,4.727387818712341,4.820281565605037,6.16541785423142,5.288267030694535,6.741700694652055,4.553876891600541,4.700480365792417,6.059123195581797,5.365976015021851,-3.655668069245444,-3.8934132880882544,0.4358132131496717,2.205255976186926,0.0309933770000001,-1.0464359784823074,0.0765866153102479,-0.7177844846956383,-1.2540315633377208,1.822916666666674,-1.3047075999653046,-0.5014150628555036,0.7168111644594077,-0.002090882,-11.18483001365691,-11.383991212794696,0.6814796919999999,-11.951920570877794,-3.230000000000002,-0.2300000000000004,-0.0300000000000011,0.8300000000000001,1.66,1.9800000000000004,1.85,1.7400000000000002,1.120000000000001,0.22,-1.17,-0.95,0.65,0.06,-0.55,-0.38,1.05,-2.5340059628130795,2.336870646133171,-8.409556100237825,-0.2744398578921031,-1.1601305031454956,-1.2539768342807456,-1.2332648004107938,-3.1736943138201745,5.406722127027575,2.534851915566172,0.7106340482295082,0.4116722414576834,1.0532828540658734,0.3860672985509517,0.7311213779887638,0.5014686159001691,0.5344711955059367,0.9260022596571992,0.6301706302966004,0.8200768404539538,0.5477325176055814,-0.8792030636818993,1.233988610248549,0.4712351861599462,0.3142112689793475,-0.0555965251049617,0.077701152961751,0.0,7.547215811546692,4.0068206777425175,-1.7297834089194275
1981-10-01,0.8289939401787905,-0.32999076855873,-0.3529480308749555,-0.1135453939590469,-3.447342015081034,-1.093294921833632,-3.033914351080158,-1.540275073978847,-1.0613340636801194,-0.7440508215609931,-6.697319422139181,1.397428346613605,-3.381721120977321,-4.502045973187396,-7.960307219858054,-6.323784894032958,-3.962178543044281,-0.2744683901320321,-3.5311999999999983,-373.0,-0.0891855779999999,0.5690465895430208,-0.4196111490117005,0.9000000000000004,-0.5,12.27014164798188,16.909393862283384,4.876910289164371,4.766859884530739,4.990094311048754,15.21110190634829,-0.6382580393474058,-2.3148988399791293,1.2993856953156246,-1.8266431263008087,-2.6480496777958606,-3.426216661673287,-1.3722342255100273,-0.0416338310625263,-0.6244973189595271,-0.1497314878559308,-0.721342427304883,0.0771307404223264,0.2616497879467161,39.2,-0.2000000000000001,39.2,6.813444599510896,4.718498871295094,4.882801922586371,6.184148890937483,5.198497031265826,6.679599185844383,4.499809670330265,4.634728988229636,6.066108090103747,5.147494476813453,-10.117280827243924,-13.568924013599748,-2.343420544340624,1.0498494046451867,0.072317881,1.8238080502058551,0.7454069501139138,1.7956134143585878,2.6579478679822355,5.626598465473154,0.5576494436782653,-0.2010812378403059,-1.4467586981184333,-0.0007497929999999,4.544358926615466,4.205710184540745,-0.1559997099999996,5.136938476824415,-3.5,-3.9700000000000006,-3.85,-3.4000000000000004,-3.67,-2.33,-1.5999999999999996,-1.2599999999999998,-0.370000000000001,-0.25,-1.52,-0.85,0.48,1.23,1.35,1.86,4.18,-10.803982306187098,-4.695629172861171,4.7724163958209775,-1.3160842124849277,0.402561256527445,0.4047026553987365,-0.4041317812903067,-1.7519113712952006,-2.81708769666964,-8.769546071992984,-1.7640471268827618,-0.528833789270422,-0.144027792735546,-0.5644170112064195,-1.2862336744526637,-2.4342241280743693,-2.187150764374657,-1.998711382328544,-0.5732689773608968,-1.8621798254394584,-0.5339643036341268,-0.1326506978759134,-0.7549846930027471,-0.5080992398917683,-0.7364525064847527,-0.0530642790367075,-1.522679305262331,-8.799999999999997,-9.360008242055072,-4.631479588190324,0.351753747885386
1982-01-01,1.9957539502975408,0.1309111597537438,0.086513953469236,0.6156725029308863,1.1359186179426215,0.6047931259200112,-0.7234328281922942,-0.2340548974427925,-0.1523322130848825,0.3745728862747377,0.4712470982482841,0.343337583115133,-1.6785001648254916,-1.2180970972996974,-2.3636631973423583,1.7785407854388424,-0.4195226583047162,-3.4586972793639426,-0.7864000000000004,-226.0,-0.044933548,0.5996017579640522,0.0270925211248496,0.5,1.0,-1.35119965242243,3.871874710910994,22.23007362622118,28.9550649762834,14.815494452092448,0.9932361562684732,-0.5084691287409626,-1.8861237603745808,-0.2040470015901796,-1.6656993448725288,-2.0288944288930466,-2.3420694548452303,-1.522761640849879,-0.0282614032924399,-0.1405101830830091,-0.463633929121876,0.2368420887776778,0.211803294738111,-0.3053247223487432,39.2,-0.1,39.1,6.836259277277067,4.727387818712341,4.61512051684126,6.267200548541362,5.247024072160486,6.792344427470809,4.553876891600541,4.61512051684126,6.198478716492308,5.313205979041787,7.986854850130953,13.7338200517112,0.113374573493985,6.318750162184372,0.082649006,-0.8816568016310811,-1.1097585701884682,1.114054324819147,-9.812684045208009,-8.71670702179177,0.2847815828220135,0.5797934484883527,1.2483905315774813,0.000324058,-11.094058593731226,-11.877702661158018,0.7095699939999998,-10.35526723451734,2.3100000000000005,1.6800000000000015,1.83,1.25,1.0999999999999996,0.3800000000000008,0.1399999999999988,0.3499999999999996,0.2699999999999996,-0.88,-2.0,-1.91,-0.73,-0.7,-0.82,-0.1,2.14,3.964015936333687,9.687984231319293,-5.286243875112595,2.943345163861172,-0.6179738086025566,-0.513162535879097,-0.400500935388326,4.778258439466043,-17.79750979789423,-1.466889559368223,-0.4327908707614902,-0.003849975029091,-2.509224219835282,-0.4095231166925117,-0.3170652384699934,0.7566960331290673,-0.8849306956222769,-0.6480049813136546,-0.6538127718021869,-0.4297004392387116,-0.1457359241071376,-0.5390633191647787,-0.1646154657095611,-0.0571059763531778,0.4296477610100879,-0.5104721163707193,1.0927409739249772,-2.299999999999997,-2.763902178805111,0.0558728095521487,0.4756593678280296
1982-04-01,1.2531615966955734,0.3541956625431552,0.1874966083008189,-0.1854642933379668,-0.8017631497411415,-0.0572239484290193,-1.8490118342362472,-1.021717456456539,-0.985151163400122,0.6674288792412497,2.5794071591846546,-0.0085788375727702,-4.014902072079174,-2.6937663597079275,-2.3560733133583867,-2.101013309420008,-1.0475141128458263,6.031577264455201,-1.1551000000000045,-308.0,-0.047726983,0.4680224160861002,-0.1295083382579775,0.5999999999999996,1.5999999999999996,-7.735126099916378,9.393403951365896,15.178701166617792,3.665651701328176,27.284500502131337,7.442880375196914,-0.6311758678616997,-2.4904791556046746,-5.9614493869622365,-1.9169916107721008,-2.4202728683059505,-3.060710892271068,-1.3980067286638589,0.0029752607074939,-0.086566039058411,-0.7181831136094274,0.394135701479037,0.1921599361477177,-0.0499375790651512,39.0,0.0,39.2,6.804614520062624,4.532599493153256,5.0238805208462765,6.133398042996649,5.278114659230517,6.816735880594968,4.61512051684126,4.7535901911063645,6.198478716492308,5.318119993844216,-6.206183337695492,-16.637815482597773,-2.640372865575813,-0.027524039423632,0.0,-0.286168126976527,0.4364701836471418,-0.2122579730316154,7.676145159569314,1.8567639257294437,0.6298629587034199,-0.4506204273321046,-0.5397084838548949,-0.0007995039999999,-0.9977407031998452,-0.2443993069878303,0.1428576130000003,-1.8178085764298133,-0.5299999999999994,0.1600000000000001,-0.209999999999999,-0.0700000000000002,0.120000000000001,0.4499999999999993,0.4400000000000013,0.2300000000000004,0.1000000000000014,-0.19,-1.68,-1.45,-0.08,0.28,0.15,0.66,2.77,9.600309382409966,4.049649051418491,-2.751745951492246,4.415604530288792,0.4997000962894127,0.6013777867980963,-0.0001002003505945,1.1776354934659672,41.42899525539505,0.4453394809229571,1.764102471065243,-0.2083016875932486,2.075154312926397,0.4888283964348261,1.9695558879520012,2.3113731666724924,1.5552936958188823,1.9815879192603525,0.8270704634232295,1.8664373386084063,0.2153649379935451,0.3680797359693066,0.7850734487266031,-0.1432732936454073,-0.5913718498908871,-0.3936468436867901,-0.271807227097609,3.700000000000003,7.500780294298615,2.2162620644033737,0.9961457458442348
1982-07-01,2.2350820121588733,0.1639881295510292,-0.356913266382719,1.5513111322328133,-1.1144017805033712,2.6201780250771023,-1.5088682348932458,-0.8077874113213035,-1.127598887114445,-0.0712920484251533,-2.34187528417178,0.7205210403970597,-3.246088446855433,-2.234798083787748,-3.9013567876169386,0.9347210246827052,-1.1999315247291698,-2.300378782274848,-1.1548999999999978,-328.0,-0.0447049049999999,0.579706517438261,-0.0391867252449884,0.5,0.9000000000000021,9.51589053164792,2.345554178729614,11.948801105774365,11.544744352329506,12.324888777359888,9.727957901682949,-0.7618105740915482,-2.2193860114468222,-6.870255358681376,-1.7017427682231911,-2.063602094381345,-2.906463490343647,-0.7437190311708974,-0.2755869134832167,-0.4828961392702169,-0.8939568854257729,-0.0634963414732681,0.1342925861296251,-0.58236176985762,39.0,-0.0999999999999996,39.0,7.042286171939743,5.003946305945459,4.941642422609304,6.440946540632921,5.429345628954441,6.948897222313312,4.727387818712341,4.948759890378168,6.324358962381311,5.438079308923196,-0.3990314574503273,1.188220356013403,-2.6949078395098525,0.1066134775076221,0.0206622519999999,1.0003812877501517,-0.428126339016277,1.0357858284746335,-0.010203561051636,1.5625,-1.741967126785582,-1.0801440574135237,-0.7985996989688715,-0.001269394,10.95450027970406,11.178356306615722,-0.611434333,13.445498934426814,-3.84,-3.6000000000000014,-4.550000000000001,-3.33,-3.2200000000000006,-2.18,-1.9600000000000009,-1.870000000000001,-1.290000000000001,0.05,-2.39,-0.94,0.54,1.94,2.03,2.63,5.32,2.9807689313706143,4.699947585397801,-2.5547045726002526,-3.250764250789848,-0.1092962156497456,-0.1092962156497456,0.3003505007763252,-4.67165169742243,-19.230206214265387,8.82540940801162,-1.6806397765996015,-0.0016762334198006,-0.6311259285399551,-0.1850940952179414,-1.7698033596049711,-2.9735966314969886,-1.491374100082954,-1.6893237275283468,-0.7451925949734317,-1.779314027613221,-0.1884627249830739,-1.0297398200811436,-0.7729313802857352,0.3132412495028713,-0.3476708032368325,-0.7386718889727195,-0.6140983712305648,3.5999999999999943,-8.79554291593898,-3.956534659077171,-0.0280271875102045
1982-10-01,2.831470322482499,0.8404796857449881,0.4798817780834241,1.6653362862936838,-1.0377706365494177,2.711862780157581,-1.998049690843695,-1.529411310371831,-1.5633545702105067,-1.4548644283209455,-1.5679206394396683,-1.4249311943879128,-1.6385167802368097,-2.487958792769529,-3.877785796842925,-1.2417724635970906,-2.0927526699714427,-1.1921561076760234,-1.6533000000000015,104.0,-0.0059552549999999,0.3264146015538927,-0.4754814132024165,0.7000000000000011,1.5,-0.6831146108835284,-1.994573999767724,18.12924854399558,11.451146268215329,23.946161712700675,-23.236108224805108,-0.4630418379278467,-2.089778107955098,-5.9089757749380745,-0.3539826705123872,-2.274710091437093,-3.232090168628865,-0.8094782620965191,0.0685952904916575,-0.4306005072685082,-0.7902188055888715,-0.1888028919802664,0.2489230581641521,0.3635911728682828,38.9,0.0999999999999996,39.0,7.172424577124845,4.852030263919617,5.043425116919247,6.576469569048224,5.71042701737487,7.208600337960199,4.736198448394496,5.093750200806762,6.61338421837956,5.796057750765372,2.86006149001512,-0.4349628477937628,0.7015957346192536,-1.3740092780572866,-0.010331126,1.7641103311970774,0.7650315183111545,2.528100587710292,3.635603696065415,5.641025641025643,-2.4588430958149665,-0.2077523756152111,1.1099564608280763,-0.0005888009999999,13.005312824819804,12.914542068126876,-0.6681412399999997,18.015265046466755,-1.3600000000000012,-1.85,0.0200000000000004,-1.209999999999999,-1.9399999999999995,-2.03,-1.8000000000000007,-1.1099999999999994,-1.4900000000000002,-0.44,-1.01,-0.79,-0.04,1.27,1.59,2.88,5.19,-4.375802453624511,-8.454461960484938,-5.770831762064665,0.2991956301410053,0.1886687984806734,0.0903886922898777,-0.1002502337590804,2.1831680288589617,-13.208249831675545,-4.005389775185808,-0.7190580545354486,-0.3066958733477953,-1.1262686826014168,-0.0697158355123406,0.100108372006602,0.8246255738030506,-1.8532459596433348,-0.8238975544553107,-0.1105625458134085,-0.820094919610348,-0.1645721521578824,0.3724231798798882,-0.2712557833199902,-0.2392498245114449,-0.1189358056835843,1.5988852132315934,-0.4789997913524413,2.6000000000000085,3.21550207718726,2.0670069003458025,1.81481654900324
1983-01-01,1.8013511882029043,0.4450155628228813,0.517742487112649,1.1227913730412542,3.131385100986961,2.236696699435292,2.051980923559782,1.3514639532252737,0.8165098668041715,1.2636308058591617,5.286689561460678,-0.1602273658126485,0.8207839623335822,2.7831207477148734,6.092386885910228,4.685892254237345,3.1381593493394533,-4.627190751724974,2.0672,103.0,0.02057188,-0.4475128143393903,0.1483268102688839,-0.5,1.2999999999999972,-11.759265012510944,-8.36990188766471,-1.0782938206753911,-11.718740754895318,6.8576768287355705,-8.670766958768006,0.358707464874719,-0.1799848191071262,-5.680826321123167,-0.1520912840707211,0.125744754750201,0.1293210824346857,0.1203369579632962,0.5322482904803749,0.4197220737522045,-0.2237287552008027,1.0254434043659444,0.7240885295258792,0.1500656818855361,39.3,0.3000000000000002,39.6,7.381501894506707,5.332718793265369,5.313205979041787,6.745236349484363,5.846438775057725,7.29641326877392,4.962844630259907,5.176149732573829,6.736966958001855,5.7430031878094825,1.8498677684663176,-2.017680736374317,1.0542704427630056,-1.582386540125924,-0.0723178799999999,-0.5693645077410991,3.0525672613404886,5.16469328958058,-14.410604001586202,-9.708737864077666,0.1923932003284001,0.9790189449316422,0.0601213332895866,0.000209989,8.587491127530367,8.770558041910537,-0.3792185640000003,13.89959615885088,-0.1799999999999997,0.0099999999999997,0.4099999999999992,0.209999999999999,0.129999999999999,-0.1400000000000005,-0.0299999999999993,-0.0999999999999996,-0.5300000000000011,-0.25,-0.42,-0.4,0.27,1.31,1.74,2.96,4.84,0.7870995839029504,-1.535654411023124,-8.117784014153589,-0.9899464161433892,-1.8753891667067533,-1.976300665999453,-0.5003509686464902,2.110053228231301,2.036277665582631,6.370906931928033,0.4085807522580253,0.8104377186420209,-0.92926310819621,-0.770757260616417,-0.6117261905049354,-0.012781665405015,1.950582219692354,0.4094171532663004,-0.4123441816544115,0.6137068873250051,-0.2487575193535818,0.5819044334089973,-0.1327679538781101,-0.4947136004880725,-0.0076279105283294,-1.7045970131342791,0.6987176718734389,8.899999999999991,1.7248289843651676,0.5690376736989577,2.277168462042223
1983-04-01,2.923076856047846,0.7265295172455666,0.9028135543786676,2.162261253679265,4.069631192652601,4.217833728277398,2.4727475867712734,2.327914457693492,2.193948416516012,2.698830418058318,5.859176563519108,1.539591857440925,2.1557842518571846,2.6238495727745725,5.230608697684147,2.952179214849693,3.156158496938355,7.683496296730397,2.1847000000000065,300.0,0.0299226069999999,1.161538865317269,1.455393735191457,-0.200000000000001,1.400000000000002,5.120762538397194,-7.376615023960831,-3.127319378133464,-16.321269509590852,4.937959261428393,-7.791933461390599,1.0395881713057165,1.3762316391524363,-2.3525323689590927,1.6105028513097253,1.4790445142510933,1.861480844223351,0.8979407834225128,0.9312826968335132,1.0174349051274234,1.011730339632955,1.0632035829599928,0.8695706967554173,0.0936768218386063,39.8,0.2999999999999998,40.1,7.457609289715606,5.087596335232384,5.337538079701318,6.844815479208263,6.049733455231958,7.478169694159785,5.209486152841421,5.303304908059076,6.851184927493743,6.0867747269123065,9.746046664501584,12.93209196364149,2.0551478366916958,0.6598820758293655,-0.072317881,-0.5788332841896171,-3.693689973958936,0.5679489065879118,10.817096706900164,-1.0752688172043,-0.4398522386733106,0.56414210194351,0.571188913011067,0.0001447229999999,9.11721187853809,9.568378213567907,-0.3783723480000001,12.426621428108708,0.2100000000000008,0.4800000000000004,0.4399999999999995,0.5200000000000014,0.620000000000001,0.5500000000000007,0.3399999999999998,0.0099999999999997,-0.2400000000000002,0.02,-0.19,-0.09,0.68,1.65,1.87,2.76,4.39,2.2017832923638125,0.7431157477322259,3.81876552101676,0.4880836176097108,1.381260557828412,1.5822114860117864,0.9006521036353909,-1.7060122745307993,16.87954201090416,-4.148837460690036,0.9078939568630596,0.2913027656425093,3.793539249344669,-0.4306781545157179,1.717977974969909,-0.5162768789865879,-0.1157199955087229,1.1111392593400993,0.905154752194992,1.009464974043084,0.3470996737846121,-0.6605867773856744,1.7539194517175891,-0.1731672284655872,-0.4376045823037078,-1.057271184629638,-0.3593749094728427,11.400000000000006,1.5841958040018866,1.1643641955988215,1.117986868412579
1983-07-01,3.086056731317832,0.8122980900399313,1.332874052430988,1.210302217124326,1.3019807565536112,0.9751038406975,4.091332646627599,3.866167983096069,3.8458157727533138,3.428605872896995,5.969618697707846,2.4743249015934943,5.661251763386899,4.324860286854859,5.806431068279316,2.802771044914465,4.079956016877517,1.520530188449687,2.925299999999993,281.0,0.0512643749999999,0.3738122001006871,1.3649428043583711,-0.9000000000000004,-0.6000000000000014,2.2002497466484527,-5.334598070529317,-14.827683863330243,-11.48693036268531,-16.711710854924,-8.328374482329792,1.352713876421241,1.949080424117433,0.3220614700042645,3.241934207972541,1.7244326186208525,2.2863099759449668,0.860411775927794,1.159661888120489,1.427411902556308,1.1025226892627416,1.5952827436811037,1.383199622959097,0.1372341304520574,40.1,0.3999999999999999,40.6,7.444248649496705,4.962844630259907,5.41610040220442,6.860663671448287,5.961005339623274,7.368339686311381,5.159055299214529,5.241747015059643,6.710523109452428,5.993961427306569,3.999211792807067,6.335355643131102,2.5954332165039062,1.9280433473156224,-0.010331126,-0.9637498711888348,-0.4467689740576652,0.4346992934822324,-2.357764737259549,-0.8152173913043459,2.1735567215630525,1.0128111216081592,0.8945349852695017,0.0008029639999999,0.4796172263493048,0.6383000395035587,0.0159297939999998,2.1253355050116163,0.4699999999999988,0.2400000000000002,0.2100000000000008,0.2599999999999998,0.5,0.7999999999999989,0.8000000000000007,0.629999999999999,0.1800000000000015,-0.21,-0.45,-0.3,0.71,1.98,2.2,2.92,4.1,2.3395068786652207,0.959753424912524,-3.2432436219462124,0.0243417584065291,-0.0034875677899393,-0.1016918668335975,0.8872834810645713,2.747964862646235,-6.937550748937094,0.7682775948881115,-0.3154653496109993,-0.706359296256931,-0.8550892199722604,-0.0194460264246743,-0.7184351549899937,1.4911229815453453,-0.1120473359573104,-0.3205420122953661,-0.4138292211738559,-0.4174541396855247,0.229705121871504,0.3740457297217503,-1.171686127077498,0.9274190486000312,0.639855507550724,1.1451060607202468,0.3365195795776543,-2.299999999999997,-3.654693680763188,-1.0829240154592412,-5.342403907439408
