,PCE,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,New Private Housing Permits (SAAR),New Orders for Consumer Goods,New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Sentiment Index,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
2013Q3,11408.4,14776.266,12235.2,89.733,1253661.0,417699.0,100.0391,100.5144,100.9336,98.5964,92.5534,100.3905,101.6038,99.6762,99.4668,101.3154,99.9011,96.909,74.6219,4128.0,0.366282165,155687,144418,7.2,37.4,2604,2691,5929,1797,4132,314000,136819,18810,816.0,5910,12032,7564,4468,118009,25858,5681.8,15118.6,7903,21835,41.3,4.3,41.8,850,1004.0,208006.0,238334.0,88685.0,1102227.0,1698537.0,1.3,2585.5,10837.2,4640.3,2333.9,2333600,1540.0262,3526.6451,2192.59795,0.154607554,1687.17,2243.43,2.03891724,18.87728985,0.08,0.11,0.02,0.04,0.12,1.6,2.81,4.64,5.47,0.03,-0.06,-0.04,0.04,1.52,2.73,4.56,5.39,0.9231,99.21,1.5885,1.0342,196.5,209.8,200.4,246.5,106.29,199.3,233.544,127.281,216.898,428.29,187.353,111.712,279.396,232.947,224.147,224.095,95.976,109.037,102.741,92.05,21.25,24.11,19.34,77.5,311674.73,851375.47,2690.2863
2013Q4,11551.2,14797.116,12256.4,90.475,1270949.0,422930.0,100.3777,100.5969,101.0342,99.6282,93.8033,101.359,100.144,100.282,100.2878,101.5847,99.8325,95.5853,74.6348,4121.0,0.396097655,155182,144778,6.7,36.5,2328,2545,5539,1676,3863,346000,137368,18881,813.7,5932,12083,7591,4492,118487,26011,5687.0,15231.9,7916,21820,41.1,4.5,41.9,1002,1005.0,211453.0,237477.0,93396.0,1141960.0,1727487.0,1.3,2674.2,11035.0,4701.4,2541.0,2540800,1574.3348,3531.6248,2236.32897,0.156753862,1807.78,2409.11,1.935523128,19.83087533,0.09,0.14,0.07,0.1,0.13,1.58,2.9,4.62,5.38,0.05,-0.02,0.01,0.04,1.49,2.81,4.53,5.29,0.8933,103.46,1.6383,1.0639,198.3,212.1,201.0,242.9,97.63,197.1,234.719,128.577,218.715,428.622,188.209,111.625,280.891,234.205,225.046,225.296,96.414,108.308,103.121,92.658,21.39,24.37,19.46,82.5,313497.87,855549.91,2721.8505
2014Q1,11646.0,15033.859,12463.0,91.104,1279006.0,429251.0,101.7767,101.4352,101.9556,99.8246,95.0098,101.2544,102.7944,102.2652,102.2294,100.5253,100.587,95.9921,75.3164,4388.0,0.422736031,156028,145648,6.7,35.3,2433,2561,5415,1711,3704,321000,137986,19037,826.9,6038,12120,7621,4499,118949,26054,5713.4,15217.2,7932,21833,41.5,4.6,42.0,970,1067.0,212294.0,234867.0,80654.0,1160313.0,1750606.0,1.31,2749.9,11208.1,4748.6,2676.7,2676600,1634.1939,3561.1026,2281.64976,0.156760547,1863.52,2478.18,1.944170173,19.50655442,0.08,0.12,0.05,0.08,0.13,1.64,2.72,4.38,5.06,0.04,-0.03,0.0,0.05,1.56,2.64,4.3,4.98,0.8805,102.3395,1.6624,1.1107,200.8,215.4,203.5,260.9,100.8,195.3,236.028,127.439,217.491,432.211,188.14,110.775,283.543,235.357,226.075,226.504,96.815,107.377,103.431,93.265,21.5,24.5,19.53,80.0,314613.85,851145.74,2775.0156
2014Q2,11810.5,15177.06,12562.1,91.772,1283791.0,435487.0,102.5986,101.3533,101.712,99.2978,96.3663,100.1641,102.8002,104.0212,103.7464,100.5216,101.1632,93.4082,75.9183,4982.0,0.526638478,155707,146247,6.1,33.9,2417,2427,4619,1503,3116,313500,138833,19194,839.8,6133,12170,7669,4501,119639,26237,5746.8,15305.6,7965,21895,41.5,4.5,42.1,911,1010.0,211120.0,238175.0,80826.0,1186247.0,1770269.0,1.31,2821.8,11374.9,4794.9,2722.3,2722100,1676.7091,3599.5004,2330.87501,0.157917291,1947.09,2595.57,1.919787991,19.634156,0.1,0.11,0.04,0.06,0.1,1.68,2.6,4.25,4.8,0.01,-0.06,-0.04,0.0,1.58,2.5,4.15,4.7,0.8958,102.0629,1.6908,1.083,201.5,216.2,202.8,257.7,105.79,197.6,237.231,127.982,218.653,435.187,188.973,110.199,285.109,236.403,227.032,227.625,97.253,106.762,104.151,93.762,21.55,24.61,19.55,82.5,318203.56,858480.37,2819.7164
2014Q3,11959.8,15348.309,12701.3,92.623,1293829.0,438535.0,102.9776,101.4907,101.9345,99.3058,95.7541,100.3564,102.7419,104.669,103.7339,100.5423,101.0361,91.8281,76.0515,4914.0,0.530554956,156040,146778,5.9,31.9,2365,2560,4386,1438,2948,295000,139563,19371,850.9,6242,12226,7709,4517,120192,26363,5755.0,15366.8,8009,21897,41.6,4.5,42.1,1023,1077.0,207165.0,236971.0,81407.0,1258395.0,1783157.0,1.32,2866.2,11499.8,4842.5,2814.5,2814200,1725.7095,3619.3332,2376.66762,0.158961663,1993.23,2655.68,1.9310366,19.620415,0.09,0.12,0.02,0.04,0.11,1.77,2.53,4.11,4.8,0.03,-0.07,-0.05,0.02,1.68,2.44,4.02,4.71,0.937,107.4257,1.629,1.1011,200.8,215.0,202.6,247.3,93.21,201.5,237.477,127.813,215.41,437.091,188.141,110.135,286.388,236.4,226.601,227.8,97.413,106.441,103.613,94.198,21.67,24.77,19.6,84.6,325525.67,870335.63,2874.098
2014Q4,12081.6,15620.73,12933.1,93.713,1306392.0,438604.0,103.6345,102.3313,103.1804,100.5335,97.917,101.3056,103.9921,105.1543,103.5491,100.2242,101.3846,92.973,76.5858,5130.0,0.58850522,156332,147615,5.6,32.7,2370,2320,4069,1270,2799,284500,140366,19481,843.4,6293,12292,7752,4540,120885,26528,5768.3,15445.0,8042,21947,41.6,4.5,42.1,1073,1072.0,193790.0,225328.0,72601.0,1251711.0,1790144.0,1.35,2947.3,11684.9,4945.9,2665.9,2665800,1773.3289,3638.5134,2422.15821,0.159658175,2054.27,2712.73,1.9199034,20.153424,0.12,0.15,0.03,0.11,0.21,1.64,2.21,3.79,4.74,0.03,-0.09,-0.01,0.09,1.52,2.09,3.67,4.62,0.9753,119.3233,1.5644,1.1532,196.8,209.2,195.5,222.0,59.29,193.7,236.252,126.637,204.124,441.464,184.015,109.446,287.958,234.705,224.135,226.341,97.12,105.262,101.28,94.643,21.68,24.83,19.63,93.6,326890.04,882566.01,2932.4289
2015Q1,12119.8,15786.489,13043.4,94.441,1310961.0,442001.0,101.824,101.3176,102.3062,101.3749,98.0596,102.3539,102.6097,102.4424,101.4451,99.2507,100.4078,92.0774,76.1133,5210.0,0.611861421,156643,148128,5.4,30.5,2444,2304,3787,1245,2542,284000,140924,19505,806.3,6334,12312,7764,4548,121419,26646,5782.9,15509.9,8081,21970,41.2,4.3,41.8,960,1072.0,191870.0,228929.0,74409.0,1240952.0,1798736.0,1.38,2997.7,11886.8,5037.3,2732.9,2732800,1834.6574,3710.3851,2470.6794,0.16133258,2079.99,2771.63,1.9620287,20.25997839,0.11,0.14,0.03,0.11,0.25,1.52,2.04,3.64,4.54,0.03,-0.08,0.0,0.14,1.41,1.93,3.53,4.43,0.9798,120.3945,1.4958,1.2618,194.2,204.9,189.8,192.2,47.82,181.8,235.976,126.626,199.119,442.943,181.884,109.316,289.47,234.411,222.854,225.992,97.008,105.051,99.972,94.907,21.83,25.1,19.77,93.0,328710.29,870785.23,3005.0144
2015Q2,12264.1,15873.338,13116.2,94.966,1309833.0,446649.0,100.4781,100.2601,100.7572,100.2243,98.4211,100.7564,101.5286,100.7538,100.4276,99.1047,100.0235,90.8573,76.0259,5248.0,0.636352613,157062,148816,5.3,28.4,2309,2396,3560,1398,2162,273750,141695,19592,764.6,6441,12334,7772,4562,122103,26762,5784.5,15567.3,8115,22015,41.2,4.4,41.8,1205,1379.0,192879.0,229862.0,74630.0,1228778.0,1821263.0,1.38,3018.0,12001.7,5050.0,2611.1,2611000,1880.0106,3749.8617,2518.57439,0.162709115,2099.29,2802.99,1.9882913,20.415111,0.13,0.18,0.02,0.09,0.28,1.68,2.36,4.19,5.13,0.05,-0.11,-0.04,0.15,1.55,2.23,4.06,5.0,0.9321,123.7186,1.5576,1.2365,196.2,207.6,190.3,200.5,59.82,179.3,237.657,125.51,203.86,446.33,183.424,109.425,291.315,236.22,224.418,227.591,97.516,104.971,100.694,95.434,21.98,25.26,19.91,96.1,334772.03,881240.08,3053.5968
2015Q3,12382.5,15973.484,13200.8,95.61,1327948.0,448091.0,100.6507,100.6195,101.1478,101.4166,100.2692,101.7573,99.9254,100.6965,100.1129,99.46,100.1636,94.7992,76.2201,5488.0,0.694068547,156733,148826,5.0,25.7,2364,2274,3332,1234,2097,269500,142265,19641,726.7,6508,12354,7773,4581,122624,26809,5775.7,15578.0,8152,22040,41.2,4.2,41.8,1224,1144.0,186461.0,218286.0,64641.0,1207380.0,1827757.0,1.4,3047.0,12160.8,5120.4,2701.3,2701000,1915.3335,3794.9483,2564.67006,0.164713404,1945.41,2594.05,2.1862673,19.472876,0.14,0.27,0.02,0.18,0.37,1.49,2.17,4.07,5.34,0.13,-0.12,0.04,0.23,1.35,2.03,3.93,5.2,0.9725,120.1476,1.5338,1.3266,192.9,202.8,186.0,184.4,45.48,168.4,237.498,126.011,197.162,447.648,181.17,109.148,293.125,235.792,223.226,227.37,97.477,104.428,99.333,95.868,21.99,24.94,20.06,87.2,343472.98,896125.29,3048.6357
2015Q4,12423.4,16077.429,13278.2,96.138,1320606.0,450611.0,98.939,99.2594,99.1139,99.9724,99.4042,100.1408,96.6762,98.532,99.1677,99.6783,99.4977,93.632,75.6829,5845.0,0.739218414,158035,150128,5.0,27.9,2399,2191,3359,1232,2127,271000,143083,19738,693.8,6630,12362,7750,4612,123345,26910,5776.4,15631.6,8189,22097,41.3,4.2,41.8,1146,1211.0,180383.0,218351.0,60897.0,1201473.0,1823618.0,1.43,3100.0,12346.8,5192.9,2481.2,2481100,1953.028,3871.0551,2502.14057,0.159693432,2054.08,2749.89,2.1123812,21.541235,0.24,0.54,0.23,0.49,0.65,1.7,2.24,3.97,5.46,0.3,-0.01,0.25,0.41,1.46,2.0,3.73,5.22,0.9951,121.635,1.4981,1.3713,191.3,200.6,182.3,166.2,37.19,158.7,237.761,126.042,194.728,452.732,179.745,108.539,295.032,236.141,222.79,227.426,97.456,103.573,98.538,96.204,22.21,25.46,20.1,92.6,303274.28,737406.52,3110.2256
2016Q1,12523.2,16106.421,13286.4,96.58,1332612.0,450561.0,98.1907,98.7757,98.599,100.368,99.898,100.5064,95.5081,97.4364,98.5179,100.582,99.4691,99.3325,75.5478,6129.0,0.769878156,159179,151218,5.0,28.3,2419,2168,3379,1148,2231,263250,143666,19711,639.0,6678,12342,7727,4615,123955,27055,5780.0,15770.4,8226,22178,41.0,4.3,41.8,1111,1118.0,179698.0,217946.0,63561.0,1196301.0,1824501.0,1.43,3153.7,12616.7,5299.4,2519.7,2519700,2019.0644,3943.0155,2548.04077,0.161969588,2021.95,2723.12,2.1701822,21.97261893,0.36,0.55,0.29,0.46,0.66,1.38,1.89,3.82,5.13,0.19,-0.07,0.1,0.3,1.02,1.53,3.46,4.77,0.9811,112.9317,1.4249,1.3226,189.8,198.5,179.4,164.4,37.55,168.6,238.08,125.843,191.583,457.723,178.319,108.137,297.073,236.534,222.319,227.532,97.673,103.078,97.74,96.832,22.36,25.7,20.27,91.0,298976.54,732221.29,3141.9489
2016Q2,12665.1,16090.905,13272.8,97.426,1331850.0,458757.0,98.7275,99.4562,99.4415,101.9148,101.7922,101.9489,95.2483,97.7805,99.3146,99.2489,99.4706,99.8522,75.413,5742.0,0.741477273,158967,151223,4.9,28.0,2396,2195,3103,1117,1986,265250,144152,19708,604.8,6701,12350,7704,4646,124444,27109,5778.8,15789.5,8281,22180,41.2,4.3,41.8,1203,1208.0,184208.0,207317.0,61277.0,1190595.0,1836728.0,1.41,3244.9,12829.4,5340.6,2427.5,2427300,2050.6023,4008.6356,2588.68439,0.163619173,2083.89,2810.35,2.13351,23.13698725,0.38,0.55,0.27,0.4,0.55,1.17,1.64,3.5,4.53,0.17,-0.11,0.02,0.17,0.79,1.26,3.12,4.15,0.9695,105.3509,1.4197,1.2894,192.4,201.8,182.6,178.5,48.76,170.2,240.222,126.276,197.236,462.09,179.948,107.29,299.729,239.059,224.268,229.567,98.325,102.49,98.74,97.561,22.63,26.06,20.47,93.5,298182.29,732442.74,3208.8039
2016Q3,12797.1,16215.456,13385.3,97.97,1342844.0,461454.0,98.6596,99.4194,99.2226,101.6957,101.8332,101.6548,94.6035,97.6668,98.7402,100.0356,99.3582,101.6855,75.2508,5868.0,0.737834779,159714,151761,5.0,26.5,2600,2288,3117,1184,1933,251500,144961,19760,594.1,6768,12347,7692,4655,125201,27209,5795.2,15826.3,8327,22323,41.2,4.3,41.9,1068,1303.0,183042.0,216736.0,66063.0,1176643.0,1840761.0,1.41,3327.3,13033.6,5404.2,2325.1,2324900,2070.3348,4074.5823,2635.59424,0.164733906,2157.69,2907.64,2.086954104,24.37261713,0.4,0.75,0.29,0.46,0.59,1.18,1.63,3.41,4.31,0.35,-0.11,0.06,0.19,0.78,1.23,3.01,3.91,0.9732,101.7843,1.314,1.3108,192.6,202.3,183.7,175.8,45.18,173.0,241.176,125.914,195.762,469.816,179.502,106.752,301.954,240.147,224.612,230.209,98.666,101.825,98.706,98.168,22.72,26.17,20.56,91.2,307440.09,740902.74,3296.7547
2016Q4,12922.0,16334.247,13499.3,98.78,1361415.0,467979.0,99.0314,99.7353,99.8404,101.6099,101.171,101.7425,96.2915,98.1093,98.8912,99.5079,99.4612,100.7571,75.3744,5964.0,0.792979657,159678,152157,4.7,26.3,2354,2117,3101,1241,1860,252200,145408,19821,598.0,6818,12355,7694,4661,125587,27270,5796.9,15818.3,8370,22304,41.2,4.2,41.9,1252,1248.0,189856.0,219506.0,66384.0,1184411.0,1858223.0,1.39,3345.6,13213.4,5445.7,2095.3,2095200,2083.858,4114.7472,2676.34017,0.16538484,2246.63,2962.38,2.034157828,25.36238663,0.54,0.87,0.51,0.63,0.87,1.96,2.49,4.06,4.83,0.33,-0.03,0.09,0.33,1.42,1.95,3.52,4.29,1.0194,115.9981,1.2483,1.3339,195.0,205.4,185.5,187.1,51.97,179.3,242.637,126.185,199.146,470.539,180.321,106.207,304.027,241.84,225.608,231.701,99.071,100.611,99.345,98.747,22.81,26.26,20.63,98.2,305479.85,737883.55,3310.3648
2017Q1,13097.3,16491.77,13642.8,99.331,1360169.0,472170.0,99.0663,98.9354,98.7285,99.5125,99.6555,99.4721,96.9432,99.2341,99.1452,100.2967,99.1802,100.6721,75.3462,5811.0,0.821575004,160137,153065,4.4,25.1,2327,2071,2702,1024,1677,233750,145975,19954,609.8,6902,12393,7705,4688,126021,27301,5808.5,15823.9,8407,22329,41.0,4.2,41.8,1190,1273.0,186744.0,222381.0,71441.0,1178558.0,1868886.0,1.4,3452.9,13426.9,5505.3,2387.8,2387800,2066.1819,4151.2672,2712.69356,0.165255988,2345.96,3133.36,1.95959135,25.8888408,0.79,0.98,0.74,0.87,1.01,2.01,2.48,4.01,4.68,0.19,-0.05,0.08,0.22,1.22,1.69,3.22,3.89,1.0015,112.9165,1.2347,1.3387,197.1,208.1,189.0,186.7,49.33,185.1,243.892,126.397,201.165,473.685,181.311,106.073,305.619,243.054,226.607,232.866,99.535,100.709,100.003,99.209,22.93,26.43,20.69,96.9,304015.25,731639.29,3359.2402
2017Q2,13188.7,16642.946,13790.9,99.745,1365370.0,473538.0,100.3233,100.178,100.2614,100.3021,100.2799,100.3096,99.89,100.5116,100.0535,101.5327,100.1839,101.4547,76.4037,6305.0,0.917357777,160192,153318,4.3,24.6,2321,1924,2570,916,1654,248000,146588,20063,629.0,6962,12422,7725,4697,126525,27320,5811.6,15776.2,8452,22360,41.3,4.3,42.0,1249,1353.0,185910.0,236306.0,85867.0,1187316.0,1880242.0,1.4,3526.3,13559.2,5553.3,2269.7,2269600,2072.7647,4196.2,2743.98538,0.165260502,2433.99,3239.57,1.940024404,25.58584297,1.04,1.16,0.98,1.09,1.2,1.77,2.19,3.68,4.37,0.12,-0.06,0.05,0.16,0.73,1.15,2.64,3.33,0.9681,110.9141,1.281,1.3295,196.2,206.7,189.5,189.1,45.18,186.6,244.163,125.508,198.062,474.492,179.853,105.275,307.581,243.287,226.132,233.113,99.766,100.109,99.07,99.925,23.11,26.68,20.84,95.0,302932.29,734349.43,3363.7439
2017Q3,13325.1,16774.796,13903.9,100.555,1385196.0,484107.0,99.7686,100.1346,100.2399,99.6162,99.4835,99.6594,101.5734,99.3004,100.3564,95.6974,99.6371,95.6557,76.3201,6320.0,0.922089291,161140,154286,4.3,26.1,2245,1905,2707,1024,1683,272400,146999,20177,637.3,7013,12477,7765,4712,126822,27351,5814.6,15750.2,8479,22333,41.1,4.4,41.9,1181,1277.0,189800.0,228374.0,74873.0,1175112.0,1900378.0,1.38,3569.3,13717.9,5566.5,2357.9,2357700,2103.0097,4230.3753,2774.2823,0.164725019,2492.84,3316.92,1.9323342,24.967327,1.15,1.25,1.03,1.15,1.28,1.8,2.2,3.63,4.3,0.1,-0.12,0.0,0.13,0.65,1.05,2.48,3.15,0.9625,110.776,1.334,1.2279,199.0,210.7,191.9,189.7,49.82,200.1,246.435,125.759,204.503,477.19,182.311,104.557,309.625,245.745,228.34,235.36,100.4,99.171,100.885,100.441,23.35,27.05,21.01,95.1,303644.64,733390.53,3378.6602
2017Q4,13551.4,16919.258,14062.3,101.992,1412747.0,492859.0,101.4573,101.1402,101.1212,100.2918,99.8448,100.4213,103.346,101.872,100.8193,99.7038,100.5329,99.2033,77.311,6336.0,0.955367913,160535,153904,4.1,24.2,2237,1966,2448,932,1516,242600,147521,20317,643.4,7091,12533,7818,4715,127204,27406,5824.7,15744.2,8496,22384,41.2,4.4,41.8,1177,1312.0,196876.0,240990.0,77489.0,1181191.0,1918490.0,1.35,3618.8,13857.9,5592.3,2309.8,2309700,2103.3867,4284.469,2813.94499,0.164961426,2664.34,3528.28,1.8364773,25.740683,1.3,1.54,1.32,1.47,1.7,2.18,2.4,3.51,4.22,0.24,0.02,0.17,0.4,0.88,1.1,2.21,2.92,0.987,112.9405,1.3404,1.2769,201.8,214.4,195.0,195.9,57.88,195.3,247.805,124.234,206.332,478.891,182.758,104.798,311.887,247.19,229.202,236.713,100.821,98.985,100.825,101.109,23.53,27.09,21.22,95.9,305204.44,734548.49,3432.1131
2018Q1,13745.1,17008.963,14103.0,102.226,1398064.0,493123.0,102.2441,101.5093,101.5172,100.2777,103.6703,99.326,104.4594,103.1896,101.9889,99.354,101.0327,97.4099,77.9263,6818.0,1.053461063,161686,155214,4.0,24.0,2303,2002,2140,795,1345,225800,148281,20518,663.9,7194,12610,7887,4723,127763,27521,5839.9,15772.4,8538,22427,41.5,4.6,42.2,1318,1381.0,199795.0,242104.0,77760.0,1178983.0,1936261.0,1.37,3667.0,13970.2,5597.6,2230.9,2230900,2121.1219,4325.0744,2848.52911,0.16495808,2702.77,3603.91,1.8499539,25.001027,1.51,2.08,1.7,1.87,2.06,2.63,2.84,3.87,4.64,0.57,0.19,0.36,0.55,1.12,1.33,2.36,3.13,0.948,106.0468,1.3976,1.2933,202.8,215.4,198.0,195.7,62.73,202.9,249.577,126.489,208.649,483.078,183.752,104.957,314.414,249.128,230.736,238.371,101.524,98.908,101.505,101.945,23.77,27.43,21.4,101.4,301929.12,722915.87,3388.5983
2018Q2,13891.3,17140.662,14226.0,102.732,1402036.0,498989.0,103.1924,102.0286,101.9249,100.2326,102.65,99.5513,104.8467,104.677,103.0289,100.0564,101.4846,98.0113,78.4262,7230.0,1.121451838,162210,155762,4.0,20.8,2269,1865,2285,881,1404,222600,148966,20713,681.4,7292,12691,7946,4745,128253,27544,5823.7,15740.7,8590,22482,41.6,4.6,42.2,1192,1338.0,203990.0,241144.0,71088.0,1185801.0,1946168.0,1.35,3654.5,14103.6,5618.6,2052.7,2052600,2187.9107,4351.9629,2877.30587,0.164526536,2754.35,3709.71,1.8512535,24.46181,1.82,2.19,1.9,2.06,2.33,2.78,2.91,3.96,4.83,0.37,0.08,0.24,0.51,0.96,1.09,2.14,3.01,0.99,110.0638,1.3294,1.3125,204.0,216.8,201.7,201.2,67.87,208.1,251.018,126.384,210.83,486.209,184.778,104.002,316.311,250.666,231.843,239.731,102.029,98.532,102.186,102.539,23.89,27.56,21.46,98.2,303955.95,724870.16,3411.5969
2018Q3,14002.2,17275.742,14354.0,102.983,1411531.0,499995.0,104.1181,102.358,102.4315,101.0115,104.4127,100.0578,103.7063,106.3454,103.527,99.8092,101.8535,99.4593,78.8043,7411.0,1.220319447,162087,156015,3.7,24.2,2074,1731,2288,936,1351,205200,149361,20858,690.2,7375,12744,7990,4754,128503,27577,5850.9,15686.2,8629,22474,41.2,4.5,42.0,1250,1320.0,207509.0,245115.0,70542.0,1183262.0,1978069.0,1.36,3700.1,14212.9,5636.0,1938.0,1937700,2223.1376,4384.2193,2912.81762,0.164626423,2901.5,3917.93,1.8038939,24.78239,1.95,2.24,2.13,2.29,2.56,2.89,3.0,3.98,4.88,0.29,0.18,0.34,0.61,0.94,1.05,2.03,2.93,0.9683,112.0974,1.3066,1.3034,205.3,218.1,203.4,198.1,70.23,191.9,252.182,125.143,212.734,485.039,185.277,103.864,318.067,251.834,232.581,241.003,102.418,98.124,102.374,103.118,24.12,27.96,21.6,100.1,307812.02,726601.79,3421.0387
2018Q4,14099.2,17538.653,14599.3,102.947,1408513.0,496683.0,103.9946,101.8474,102.004,101.0624,105.1918,99.9074,100.7463,106.7112,103.7599,99.6607,101.4194,101.3848,78.5481,7489.0,1.172170919,163206,156817,3.9,21.9,2149,2033,2240,934,1306,224600,149805,20935,693.7,7396,12796,8035,4761,128870,27576,5870.6,15632.6,8661,22511,41.4,4.5,42.1,1095,1320.0,198492.0,239527.0,71829.0,1165909.0,2003231.0,1.4,3773.0,14362.7,5682.2,1759.9,1759800,2301.4447,4408.3503,2953.19448,0.163953414,2567.31,3456.23,2.0936311,21.107893,2.27,2.69,2.37,2.48,2.66,2.68,2.83,4.02,5.13,0.42,0.1,0.21,0.39,0.41,0.56,1.75,2.86,0.9919,112.1994,1.2664,1.3436,204.4,216.3,200.7,203.5,49.52,189.2,252.767,124.356,208.595,488.82,183.966,104.717,320.612,252.27,232.423,241.438,102.701,98.259,101.166,103.887,24.36,28.19,21.83,98.3,311577.7,728256.33,3493.8057
2019Q1,14148.0,17688.891,14662.8,103.97,1413719.0,508402.0,102.8286,100.8154,101.1595,100.8832,100.4154,100.9922,97.7282,105.3798,101.1321,97.6917,99.7341,101.272,77.3362,7337.0,1.18683274,162937,156755,3.8,22.2,2174,1831,2162,844,1319,217800,150320,20984,691.4,7422,12822,8055,4767,129336,27605,5886.0,15578.5,8705,22573,41.2,4.4,41.7,1195,1291.0,201343.0,234890.0,68388.0,1141150.0,2024908.0,1.4,3736.9,14509.9,5708.0,1725.9,1725900,2334.9873,4449.4989,2989.0678,0.163968721,2803.98,3788.94,1.95935777,21.9098888,2.41,2.48,2.4,2.44,2.49,2.37,2.57,3.77,4.84,0.07,0.0,0.04,0.09,-0.03,0.17,1.37,2.44,1.0005,111.1443,1.3167,1.3371,205.3,217.0,200.2,188.3,58.15,192.8,254.202,123.731,209.504,491.4,184.891,105.385,322.55,253.644,233.3,242.818,103.056,98.011,101.7,104.284,24.55,28.39,21.97,98.4,312997.62,722283.88,3566.6302
2019Q2,14336.8,17696.609,14651.8,104.654,1413647.0,513162.0,102.4893,100.3814,100.5826,100.6465,102.8678,100.0194,95.6202,105.1645,100.6686,96.8132,99.6008,99.1528,77.34,7139.0,1.208157049,163073,157164,3.6,21.7,1903,1835,2171,812,1359,223200,150797,21065,685.7,7511,12820,8044,4776,129732,27639,5878.0,15530.6,8749,22577,41.2,4.3,41.7,1228,1301.0,198965.0,220513.0,57227.0,1098258.0,2041432.0,1.42,3828.4,14757.7,5783.7,1601.3,1601200,2335.9836,4498.8484,3022.27261,0.165056804,2890.17,3899.41,1.940275996,21.78981816,2.38,2.3,2.17,2.11,2.0,1.83,2.07,3.42,4.46,-0.08,-0.21,-0.27,-0.38,-0.56,-0.31,1.04,2.08,0.988,108.0685,1.2675,1.3289,205.2,216.7,197.2,181.3,54.66,186.9,255.159,124.916,209.131,495.662,184.884,104.483,324.544,254.715,233.572,243.619,103.469,98.241,101.582,104.895,24.71,28.44,22.13,98.2,315987.15,725007.12,3660.5664
