,PCE,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,New Private Housing Permits (SAAR),New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
1991Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991Q3,-0.04757399901846084,-0.10250833362061812,0.017727580044133388,-0.368804203547126,0.13509455114435717,0.08136622426478111,-0.1265248720400613,0.05765695974864802,-0.0871523022813043,0.084799590492109,0.12907600645514947,0.0037997300515596453,0.14466512334593332,-0.17790911490168665,0.01134860788430567,0.05085737771803103,0.16212696224695733,-0.03952982919412379,0.05901237706542271,-0.7638500855870006,1.6588100956447145,0.38167530258787224,-1.5067975802211189,-0.29289693870904215,0.02573713874338929,-0.0865758103841928,0.2685333868405305,0.048442914771270586,-0.03966849482690825,0.05951178434726495,-0.15336567600010614,-0.2892221796934734,-0.19070709054215115,0.21004301517229523,-0.09421701264469744,-0.17624217753616028,-0.029877999651321083,-0.43035071158838784,-0.5630528631220582,-0.10597951038130314,-0.021353773206784027,0.026954793341039358,-0.06701044444241806,-0.25475132920933297,0.37940598468413517,0.16848191533007187,0.3552407602320268,-0.24801535760353266,0.07348997911859222,0.17232508731648472,0.10132992815569933,-0.23342792921551742,-0.23538524994763477,0.06447375295591021,-0.06466234347504536,-0.0642546750580825,-10.364517129144566,-0.08624849720181897,0.08076349618657562,-0.11592990312187428,0.1420366266273265,0.005885210488816127,-0.06431902810309567,0.34848696588822575,-0.06122303778490528,0.05741314326377312,0.20366157172679666,0.1904287319788119,0.35707097568378726,-0.03666681299865039,0.5619281091860443,3.267450673303716,-0.5843403655849958,-0.4267234173082798,-0.5485272555633484,0.22615195805533858,-0.13585489540318021,-0.1382680240363865,0.16917373353672582,-0.1553617160349707,-0.0371202580220635,0.039688704453661114,-0.0999683093197626,-0.027301833697270902,-0.1022251466037573,-0.12452673065934171,-0.08870286235756375,-0.04023226608346051,0.0869122304288741,0.07159443326798197,0.07734899098235438,0.12250760534660933,0.0875249823515916,-0.023536751370149038,0.12099032251463115,0.996530948450503,0.10855080319903691,-0.16520321058245732,0.018759450205775647,-0.10104765018731808,0.072209071220713,0.12206916108484149,-0.08075641611496215,0.08349120886449345,-0.0912751014810432,-0.06760346057056621,0.09006695472823878,-0.34570805772375435,0.10750362320162891,0.001700871660896041,0.003188394674963943,0.1002386766462984,-0.04936663926373516,-0.435594132041624
1991Q4,-0.2053885857948679,-0.054567331538942075,0.2063492073057298,0.15958133810040342,-0.09739831166253389,0.17587837598957806,-0.38958703500489617,-0.18683394136059836,-0.09728414858933697,0.07366605980340006,0.0009662041551373566,-1.297437896926485,-0.2691055757754998,-0.24830521423722166,-0.2342497524263318,-0.01048456493001003,0.10664565009397614,0.137491788227829,-0.03727893768190171,0.15262149200377792,0.20408795613770936,-0.00047131982413455004,-0.21754919472902579,,1.3888299306919938,-0.024119424452617142,-0.03278610973653125,-1.4184271411172982,-0.0609092802692255,0.1588299783709686,-0.9033493676623562,-0.20175961605168827,0.0032031524429486946,0.136422042258152,0.132257038315021,0.08420111189221757,0.276681024754284,-0.10809196575822684,0.16905134523670437,0.04673004283502372,0.12153333600862337,0.21129116269026305,-0.22307369227794382,-0.9359393730463728,0.3784240197137509,-0.18898161605464164,0.3543435468673798,0.6281190344154528,0.9153590260258359,0.03664509047211162,0.028455871937007677,-0.3755085591527493,0.7227944592145336,-2.2668045189531756,-0.128871468741735,-0.08763786697266367,-0.03034049328867061,-0.09534378574248578,0.27929420551702616,-0.06314771598104667,-0.06758443131304406,0.1226491004854892,-0.0636878781192444,0.055398495278469614,-0.13680780210558038,0.04456524663779244,0.1604049931203553,0.23767093856541,0.350224302916534,0.7087363229825401,0.4072964406992975,0.16135799661899639,0.10934486915133758,0.07024453331341024,0.12063876416286583,-0.09105377130684211,0.06387135791064787,0.10686221764288843,0.21371492059154293,-0.32222168461243944,0.033100300067870785,0.1782975735340333,0.06100303558973602,0.934336101510195,0.0009428506050611191,0.1456504604117032,0.018212443949158393,-0.5232023630937738,-11.31061675546735,0.3542225384231668,0.0761975222240143,0.30183895517490883,0.0863405491774952,0.07474669839373033,0.08246108542983488,0.032041213729530234,-1.243522972872387,-0.30927850231878395,0.010894140054219905,-0.119885066856192,0.10017649110838397,0.03155291370605427,-0.07785781787441995,-0.06967599129345703,0.06343453540663227,-0.07910904979396274,0.07691553959785384,-0.2600008381221092,0.11675652569617907,-7.7353138177890886,0.11705628327289169,0.1801912207950991,-0.025202540371919206,0.2698979685621599
1992Q1,1.502153467115301,-0.09410407617138111,0.06558794854381562,0.6624431224239667,-0.172246852680099,-0.3585806258502276,-0.5754912927430019,-0.16404386462466192,-0.09448018213665783,0.07690484574908685,-0.21495072337621202,-0.04010536895670897,-0.5802567908715756,-0.5308723753297925,-3.0436606992985418,0.16636125545574482,0.011563388285839018,-6.4225184014628,-0.030234094476479477,-0.202394497753535,-0.08396655687168152,7.555822634670311,-0.20918968529426685,-0.1591024780974729,0.2923059094295939,2.1600856551273995,0.022587948042234487,0.15869649362139257,0.04354910809147613,0.06787066306845836,-0.24159116331251834,-7.6637442360681405,-0.15440430728266963,0.09000387490415968,-0.14795113597433168,-0.08663223554219829,0.02175432773397325,-0.7936603081056949,0.05457433517413854,-0.01862813278592157,0.11372045132830501,0.05382884237036432,0.14328569103722977,-0.12369797069370757,-0.40813479482237086,,-0.009027865819792515,1.9306731438511442,0.1744772050210824,-0.05410025809372933,-0.19395432832163234,-0.04523171235023618,-0.20204577077550184,-1.507015435297843,0.055897773980595256,-0.06825406336607057,-0.2932649189660995,-0.08900780666686785,0.07969700365924662,-0.14740576544188472,0.04787582512919453,0.13832255462921683,-0.08042074237095767,3.1646760794624837,-1.8516127238873348,0.30328557982965426,0.22084537232565413,-0.1521819523720258,-0.09801880481455322,-0.36813010369866794,-0.16416842109954938,-0.1308714752358489,-0.1245953915463934,-0.1128110512213677,0.017839346639708865,-0.14732979952780234,0.12361852770538277,-0.3820963600314772,-0.10361439770808728,-3.4211771438078875,0.24610728168774257,0.24122188565647884,-0.016194339028949806,0.43460293021190416,-0.1435458682324026,-0.005330108600312966,-0.12431468672985208,0.9912271506141244,0.08556351405489708,0.02683071227941892,0.07786425376065276,-0.1190739050295013,0.08730342496232894,0.027580498676298717,0.03482745696896669,0.12105311425315568,0.04015425892575381,-0.23371630099419338,-0.002382371616462456,-0.3034331812248001,0.3984917107275722,3.800276838969029,0.3636759770537763,-0.029751436481516947,-0.06708838939659893,-0.06604169967047946,0.06377104605056168,-0.06987227701858453,0.8612102889615091,-0.008668384868668876,0.12632754038176477,0.08094940070608586,0.1372680818406036,-0.15051255446181747
1992Q2,-0.22161763510299182,-0.09178202303559295,0.07267297431142934,0.1497806594005457,0.10330412884685133,0.1359232603498374,0.004814227995341129,0.17344000712549357,-0.08336188359224324,0.0900220345523735,0.3124706676833956,0.029529238207597,0.26118580270948255,-0.14237673558413333,-0.028206328348631616,0.026628183010342844,0.1747495050060704,0.2195327969526949,0.07511794215286507,-0.0020915479985641736,-1.3882609290888528,0.09666988446189964,-0.0921740903653014,1.847814431076037,0.11214679031751484,-0.3103527332510135,-0.03800928921847072,0.29421409125124476,0.4261160181081777,0.08507907982837477,-0.11933760468667992,3.310931537208655,-0.23725534539292167,0.20201940030737653,0.11146832056669262,-0.234927706967261,-0.1795518374180114,-0.4621852526364146,0.2122737784758446,-0.13478756662758692,0.15272806383510867,-0.827318017425882,-2.1669042325637173,-0.13926682495722822,0.3784240197137509,0.5259454467147806,0.35345074241357366,-1.3218334686064834,-0.2998781340105983,0.10294183470509037,0.17758120208409509,-0.1652939585362177,-5.682247738779519,0.06247539724559048,-0.09713282270852519,-0.11869078515975397,-0.8313565621440774,-0.07949196536879628,-0.0225862164818831,-0.10248814523471401,-0.09336442006060387,0.12369448323758576,-0.04373124397083741,0.03345249574117092,-0.13472788244142517,-0.018844303776527817,0.11515038999166508,-0.14199245683373954,0.18016178579444547,3.8078736319843887,-1.3833808395520408,-0.408374291331306,-0.10322249781829874,-0.0931964200062697,-0.3448680321684187,2.0314257413371735,-0.15121845335039774,-0.8055876804440032,-0.011335287685427858,-0.06426482163101496,-0.008307358263403676,0.06830238087587756,-0.09653424225663094,-0.008059121866311959,-0.11638158813868626,-0.042087160391194485,-0.13889241971913674,-0.15434666203526937,0.0851958078434674,0.003872298346593385,0.056955439001559166,-0.823007892866646,0.08833834707832726,0.09476950130139579,0.12427679575076431,-0.01815040602528441,0.0837252056585232,-0.4609640130477975,-0.0016697366646589297,-0.13760244193727175,0.10230633588774563,-0.03678335003376391,-0.09215429460117493,0.056873024936535024,0.033223871856517845,-0.059497224818361664,0.06042564180582005,-0.5297542658449149,0.08911592062095035,-0.016608952138594497,-0.26744164738780213,0.3361219914300071,-0.009291447204161958,0.06586228466721737
1992Q3,0.17617545889688846,-0.10674920915294628,-0.000685134122707711,0.2191133537033033,0.2378414264915372,0.16553446232740493,-0.11859504567968499,0.1112185993159318,-0.08546152962064113,0.08772586388957777,0.09083611114943486,0.24721994211759968,0.018738169726507294,-0.20100472707877223,-0.1461838193135584,-0.029106137708781104,0.1410481567531906,0.6514694420297763,-0.007112088042178199,0.2184904915858364,-0.08826118732402692,0.00010762834052249407,-0.04913120859688601,-0.5604858599321794,-0.12224204343637998,-0.15565266750644205,1.0944123507535286,-0.0016986776345552165,-0.10541469300933681,0.03974938263933152,-0.1434382460315872,-0.11124835876740222,0.1302761352840933,0.13444520085292141,-0.2239617177240751,-0.5481110098188762,3.9725595673240286,-0.3186366478439247,0.04460058797629301,-7.093962192814456,0.08777226713780165,-0.4447253280293923,0.010316056538232605,-0.03575612964838845,-0.40813479482237086,-0.9039086788240671,-0.3706180460918062,0.34275191328267873,0.5387440557862843,0.04144883360496033,0.9998495794989354,2.635352381306617,0.024414669984517485,0.6779680325369019,-0.023219192660962843,-0.08920474104116322,-0.09694801659504346,-0.08957620750656226,0.07164343882224938,-0.07218907586806278,0.05062557289252727,0.11951655795167375,-0.10051674703787983,2.5021623206972894,-0.417420376884335,0.7219586369117317,0.13646499727973094,0.27779445648827383,0.35382781489929865,0.27528765045716563,0.3290636811449154,0.2713168866552577,0.2450508814790063,0.2985811592747268,0.3019178531188,0.08298954872996575,-0.23187713257328987,0.5401736266446902,-3.6754339911948586,-0.24363405626585805,-0.04843319826724833,0.03477956286025911,-0.07128556526590561,0.07813294936895394,-0.00446899336158387,0.10985701871570595,-0.06385978023400356,1.8782747613228012,0.08586147618088893,0.04165292829706599,0.07521005140909477,0.022937117155297084,0.0871135647144838,-2.0553017386363286,0.13983857080951875,-0.1363332797275096,0.0987166239160874,0.04898392154732296,0.02924310144204898,-0.11765269263270788,0.021077941198223905,-0.03873494723522938,-0.07848248441470827,0.08018704254987098,-0.13849783558180476,-0.04447133012255228,0.09350045634617632,-0.07916332757625283,0.09854815456216187,-0.026991784934119405,-0.03412970060540191,0.13229213672847362,-1.8802249500649146,0.2143359050542315
1992Q4,0.08619502331929295,-0.5097932407418532,-0.610249761852043,0.18369650361799686,0.31813820523862346,0.14892557558582006,0.16343028737447815,0.2471115836020069,-0.0787190746064628,0.0938792178292252,0.43785265629352704,0.07234815436658472,0.4704060050217,-0.04298694275145315,0.4810791107626919,0.27916940828052206,0.19962585427540647,-0.0007295204258966733,-0.04760034276540374,-0.5211589992044319,1.140979101774055,0.13716468599510928,-0.06000953213270376,0.2422809037372288,-2.9518927465812967,0.4839078263378201,-0.1590596213075606,-0.024074728910045723,-0.08292868477546406,0.09411710045691608,4.668415882786434,0.3324883966719252,-0.37234681869323877,0.012723128046798881,,-0.22777960342475628,-0.16075410714342966,-0.4675181661956236,0.13164353366036155,-0.21103304856425695,-0.0539809558040317,-0.3730111703518143,0.22150816675137186,-0.12665720617440593,0.3784240197137509,-0.9039086788240671,0.7159293506469725,0.3283434096396564,0.5523905894211308,-0.06512683527390288,-0.2058351842268242,-0.14854687788761978,0.08470242589456839,-0.05822510533560967,0.01946071120222817,-0.08212603232704084,0.24345187676980667,-0.08494469569417011,0.1174991969397481,-0.08619269497311892,-0.15896773136819997,0.12830565590230217,0.2646161149713695,0.38730508535817415,-0.029120478626062207,0.1607366502804842,0.11810954255025721,-0.12775507950627138,-0.3923376332377312,-0.5132991397751543,-0.2664871042495796,-0.18625052825718372,-0.10533444383886145,-0.07096364326793082,0.010080900034187152,-0.19992780345044014,7.80710456330829,-0.6082619755922886,-0.25640198083318694,-5.083530734502134,0.17207935127381485,0.17539323053168687,-0.053966923520046256,0.43279496964609815,-0.12983391905855005,0.027549984848029077,2.293002317735385,0.28694684427326633,0.08653335988709582,0.06791976273356441,0.07696008896684303,0.23401904260305786,0.08764836013312986,-0.23236897444725546,-1.690740549803361,0.0656486797406219,0.07955275825804131,-0.27977709019033953,0.10913853407826304,-0.1502342695561308,-0.3050544302070516,-0.09297330881033354,-0.18851920312141723,-0.013468754281141474,0.03428052000599473,0.017586170560521364,0.13436122779594245,0.24321519740654116,0.10829028559824946,-0.009852456789726615,0.04538728765292462,-0.2105059369863884,-0.039629163221904726,-0.46445466584436207
1993Q1,-0.23276008326483533,-0.11519263066280991,-0.028628687522817352,0.09686110993745231,0.02639328446347743,0.07527640516336345,-0.10221264039113544,0.07168252538808538,-0.08827526395847025,0.0854479722580146,0.0939205601324769,0.05538615898394577,-0.014259148545565294,-0.1638937944325608,0.12556898205447325,-0.08063194541599718,0.17870744706147407,0.02646478702869228,0.15743276267375653,0.09085511706527691,0.08164983302803552,0.08838170810507531,0.005232279630549672,0.7774587461835093,-0.5874340524567943,-0.060240531054160086,0.1323090283328082,-0.49637232992179087,-0.1303632538368619,0.21686022020188686,-0.17596995392327638,-0.049346969992605835,-0.09359922967265594,-1.2803818243784717,0.007828568876735043,0.13495939385779349,-0.5004613267315001,0.07922680709352115,0.04980151285452618,0.12743078060095506,-0.01954320323197702,0.5646308513850261,0.07795748698122716,-0.1448446411854354,-0.015343933401840879,0.5259454467147902,-0.3697339625214865,-1.333885831209015,-1.2146809792565478,0.0951287880001844,-0.014643737566405983,0.18685475778916016,0.06428794493132321,,-0.6500196592457615,0.054929379139496075,0.3577724907305297,-0.09359104215391079,0.0730648158437661,-0.19778111119140213,-0.2302636511559471,0.14195946834330905,-0.13080426800167025,0.20563378269147345,-0.09227136107131495,0.027626583312922098,0.01753949575953968,-0.3531802205245166,-0.5557656516339062,-0.6644854812026704,-0.3342971804148942,-0.2171736989055004,-0.1800852647038066,-0.2700285438710491,-0.7424884207013759,-0.5308698267088545,-0.2300847174794478,-0.44797278765120346,-0.0247615785201335,-0.13855486344962764,-0.08906158764688137,-0.04235346490273857,-0.19481064193060152,-0.7245969439927906,-0.05960450877673181,-0.3265836678875097,-0.03857363388991609,-0.2974143633507587,0.0889151375932072,-9.223726051748045,0.07113523374745205,0.00586873859339823,0.0868457368158644,0.06982676891276265,0.07052964942631695,0.19988083325097533,0.08863197260059294,-0.5200377471771623,0.03646572187205791,-0.2334036542113529,0.049232204748130906,-0.04184109209459519,-0.11489520257966769,0.031206849581555104,-0.16038990302895212,-0.06745415859357017,0.19369058820578072,-0.08633012524791346,0.12032036436368891,-0.0005514833751389577,0.1249538352995204,0.20660922603918674,0.34787463236192273,0.11509274916776441
1993Q2,0.36319781970227555,-0.10862786693414474,-0.00012508922010382551,-0.3433731489858073,-0.3620577271034755,-0.3197342047225225,-0.21038963597804733,-0.06752305617857203,-0.09411844883750257,0.0777448266617632,0.009734730092414661,-0.10319448336186124,-0.08555927300713788,-0.1711101927570754,-0.10915713901590657,-0.01677970517439374,0.13443394147421076,0.1677317900051327,-0.018755312197897993,0.35593007009611677,-0.046126133498141576,2.0762763602286682,-0.032037574533622354,-0.29289693870904215,-0.1387414644459715,-0.11023336271373636,-0.10047493954613147,0.05303428549480819,-0.0122478024017284,0.04612882651308325,-0.22632716887859436,0.12775671539288536,-0.21319028713858137,0.19678162756202508,0.1976519191833882,-0.43410179496585427,-1.5991161905199027,-0.26906857370869897,0.15253352772580941,0.02736503119983618,-0.6584809372923169,0.22317192338909964,0.36140029556231573,0.0577020855294379,0.7702377894392544,1.2408725094842028,0.7141524947242677,1.7498489974171292,0.7070445540734971,0.3920070552138444,-0.06904930727710405,-0.0688352904310713,-0.07717753122488846,-1.5306113810806325,-0.03791292229781651,-0.10127724418651884,-0.17349524929368942,-0.08806944315797977,0.05661345645434824,-0.11974247413223947,-0.39596018371584263,0.18077553958224105,-0.11181042000890543,-0.009038241534915992,-0.14122134296375558,-0.051883452615686866,0.272193216236175,-0.28911202255090995,-0.2468055623879177,-0.5235771586002701,-0.2640859826120559,-0.18919221718642248,-0.03439836926056037,-0.023158989897948182,0.10609167677751366,-0.13846500197888925,0.19292524466727515,-0.4056236556099509,-1.1436191480789373,0.2539977461600203,0.028775331923608864,0.07818019839047259,-0.1492679201304688,-0.0772078825895695,-0.1060238176348551,0.16621820936596157,-0.09299985562995507,-0.484299067903082,0.0841901262704821,0.012663357532438675,0.0750799850915612,0.24887799295617635,0.08721639343246688,0.04148304842075523,0.1473571361590965,-0.14567042480705125,0.1085907989518394,-0.5322823015261924,5.56397740957154,-0.16447430753130862,0.04450432921765349,0.03600156713668338,-0.0780391889075067,0.09830255490837417,-0.09044864694220787,0.15282763942855143,0.2142183483714193,-0.13090493760861868,0.1105810873952762,0.011789196211783102,0.35633314576622704,-0.07641451302538445,-0.0405922446753265,0.06230711758192453
1993Q3,0.01669562918399329,-0.09966432359646596,0.019701837144637482,0.17577730131330105,0.13664889795779353,0.12127087895239556,0.9144484620770197,-0.6554222078177593,-0.10613686461099839,0.06602651515639914,-0.37321930321185226,-0.17880010482125186,3.010649654748658,-0.17480461469044398,0.14224532744762222,0.756971053073168,0.2594459011675599,-4.737135539647422,-0.039785081168640615,0.493971322808756,2.191147244532421,-0.02525658896624855,-0.09545979906585393,,0.38305272498234716,0.3825056381702716,-0.24193392083048318,-0.4948598162864502,-0.13532439334823412,0.09691534235814789,-0.11441005303387279,-0.04119256991918765,0.25956200640706895,0.0917111916980003,-0.05107858029450063,-0.26938625587241577,-0.3294147680809769,-0.11777969663219297,0.04687109323890611,-0.01930496270079745,0.07311158738511345,0.29288419630758994,0.08209001676756948,-0.0704310068556917,1.157209526986878,0.5259454467147806,1.0704511113825657,0.47066780973684136,1.072271873204873,0.03482798345725876,0.10929038038495881,-0.08968908243805826,0.12932777468071477,-0.05822510533560967,-0.007723740546098258,-0.08705499065471946,-0.33103546103032117,-0.08658644523295936,0.08590265155523957,-0.11171213843279121,-0.0511546446214571,0.13133083250219035,-0.21022879650504944,-1.157612616671065,-0.20656446543559942,-0.29824644680556667,0.0798257235157037,-0.6023343237552098,-0.5441223273058734,-0.7071132090487746,-0.3724822178164375,-0.24103706009535725,-1.9529586868947373,3.218886428148338,0.34524579339270867,0.8443532710512531,-0.18706675522723867,-1.6525703212690548,-0.044741177976540716,-0.08661897817824243,-0.0622222342148524,-0.031860913461589736,-0.2397614971809461,-0.8135751065833322,-0.026350119185603545,0.06928355875529485,-0.03797803816984222,0.1547020415889927,0.08982514482484115,0.26214445307153617,0.07636460414176878,-0.31072499992885194,0.087523389450274,0.022688844837868993,3.139999351368421,0.06114638904146534,0.12678952607476607,-0.5644774404188134,0.05494167571954117,-0.11809410604442588,0.018286367308237152,5.199380693808737,0.48974569675651014,3.3024834500800857,-1.0596529003291704,-0.055703247252983305,0.10979376473860473,-0.3731926175515162,0.12772892171786007,0.0050985670871722625,0.017351973239229844,0.08048511812259458,0.13107520673340747,-8.961664440809022
