,1-Year Treasury Rate,6-Month Treasury Bill:,All Employees: Construction,All Employees: Financial Activities,All Employees: Goods-Producing Industries,All Employees: Government,All Employees: Manufacturing,All Employees: Nondurable goods,All Employees: Retail Trade,All Employees: Service-Providing Industries,All Employees: Total nonfarm,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,Capacity Utilization: Manufacturing,Civilian Employment,Civilian Unemployment Rate,Civilians Unemployed for 5-14 Weeks,"Housing Starts, Midwest","Housing Starts, Northeast","Housing Starts, South","Housing Starts, West",Housing Starts: Total New Privately Owned,IP Index,IP: Business Equipment,IP: Final Products (Market Group),IP: Final Products and Nonindustrial Supplies,IP: Manufacturing (SIC),IP: Materials,M1 Money Stock,M2 Money Stock,New Private Housing Permits (SAAR),"New Private Housing Permits, Midwest (SAAR)","New Private Housing Permits, Northeast (SAAR)","New Private Housing Permits, South (SAAR)","New Private Housing Permits, West (SAAR)",Ratio of Help Wanted/No. Unemployed,Real M2 Money Stock,Real Manu. and Trade Industries Sales,Real personal consumption expenditures,Retail and Food Services Sales,PCE
1981-04-01,1.1499999999999986,1.2799999999999994,,,0.3588150592557682,-0.8197019796055471,0.7586316969428353,0.5400041543467182,0.6000172346292132,0.2876155983603468,0.3065136499376564,0.4953437146038908,0.5921427991028239,-0.20199999999999818,-0.2718191140393955,0.09999999999999964,-1.0349916442920382,,,,,,0.6709840795842581,0.7354266344121285,0.7358439010059836,0.7394204506960378,0.579647762800084,0.6002600504467992,-1.0690279076424503,-0.2359965775938555,,,,,,-0.009941113000000001,-0.08665511807421922,-0.9181427589204816,0.363536295904332,-0.4724965284276905,1.6723149508534263
1981-07-01,1.6600000000000001,0.8300000000000001,,,-0.329897206411367,-0.795282228257399,-0.4106562929507618,-0.17021280705300512,0.09132640207933918,0.09965271114040775,-0.0142102127943744,0.07516375313603163,0.0997960771851325,-0.7646000000000015,-0.23357733141882164,0.09999999999999964,4.912698792463477,,,,,,0.03349946763280265,0.0738559585555354,0.5158034078246665,0.4164895590094808,-0.18834914429004534,-0.33482234760606744,-1.0464359784823074,0.07658661531024791,,,,,,-0.03985230099999998,-0.7177844846956383,-0.8618234830017002,-0.23251093103406895,1.9348210896023232,2.095236106787013
1981-10-01,-3.67,-3.4000000000000004,,,-2.3148988399791293,0.2616497879467161,-2.6480496777958606,-1.3722342255100273,-0.721342427304883,-0.04163383106252638,-0.6382580393474058,-0.6244973189595271,-0.14973148785593082,-3.5311999999999983,-0.4196111490117005,0.9000000000000004,16.909393862283384,,,,,,-3.033914351080158,-3.3817211209773212,-1.0613340636801194,-1.5402750739788473,-3.9621785430442813,-4.502045973187396,1.8238080502058551,0.7454069501139138,,,,,,-0.08918557799999999,1.7956134143585878,-3.447342015081034,-0.11354539395904695,-1.0932949218336319,0.8289939401787905
1982-01-01,1.0999999999999996,1.25,,,-1.8861237603745806,-0.3053247223487432,-2.0288944288930466,-1.522761640849879,0.23684208877767787,-0.02826140329243998,-0.5084691287409626,-0.1405101830830091,-0.46363392912187606,-0.7864000000000004,0.02709252112484961,0.5,3.871874710910994,,,,,,-0.7234328281922942,-1.6785001648254916,-0.15233221308488254,-0.2340548974427925,-0.41952265830471624,-1.2180970972996974,-0.8816568016310811,-1.1097585701884682,,,,,,-0.044933548000000045,1.114054324819147,1.1359186179426217,0.6156725029308863,0.6047931259200112,1.9957539502975408
1982-04-01,0.120000000000001,-0.07000000000000028,,,-2.4904791556046746,-0.04993757906515128,-2.4202728683059505,-1.3980067286638587,0.394135701479037,0.0029752607074939874,-0.6311758678616997,-0.08656603905841109,-0.7181831136094274,-1.1551000000000045,-0.12950833825797758,0.5999999999999996,9.393403951365897,,,,,,-1.8490118342362472,-4.014902072079174,-0.985151163400122,-1.021717456456539,-1.0475141128458265,-2.6937663597079275,-0.28616812697652705,0.43647018364714185,,,,,,-0.047726983,-0.21225797303161542,-0.8017631497411415,-0.18546429333796688,-0.057223948429019345,1.2531615966955734
1982-07-01,-3.2200000000000006,-3.33,,,-2.2193860114468222,-0.58236176985762,-2.063602094381345,-0.7437190311708974,-0.0634963414732681,-0.27558691348321673,-0.7618105740915482,-0.4828961392702169,-0.8939568854257729,-1.1548999999999978,-0.03918672524498845,0.5,2.345554178729614,,,,,,-1.5088682348932458,-3.246088446855433,-1.127598887114445,-0.8077874113213035,-1.1999315247291698,-2.234798083787748,1.0003812877501517,-0.42812633901627706,,,,,,-0.04470490499999999,1.0357858284746335,-1.1144017805033712,1.5513111322328133,2.6201780250771023,2.2350820121588733
1982-10-01,-1.9399999999999995,-1.209999999999999,-0.20780853096491927,0.2645274407372579,-2.089778107955098,0.3635911728682828,-2.2747100914370932,-0.8094782620965191,-0.18880289198026645,0.06859529049165758,-0.4630418379278467,-0.4306005072685082,-0.7902188055888715,-1.6533000000000015,-0.47548141320241655,0.7000000000000011,-1.9945739997677236,5.013545295901898,4.793184525301448,6.533139378573724,5.7123798078530585,7.141564187506262,-1.998049690843695,-1.6385167802368095,-1.5633545702105067,-1.529411310371831,-2.0927526699714427,-2.487958792769529,1.7641103311970774,0.7650315183111545,7.176477804988665,5.07086741491455,4.664725708699725,6.57335470887148,5.790275642381607,-0.005955254999999993,2.5281005877102913,-1.0377706365494177,1.6653362862936838,2.711862780157581,2.831470322482499
1983-01-01,0.129999999999999,0.20999999999999908,-0.04591691415178406,0.7014463668861799,-0.17998481910712627,0.15006568188553615,0.12574475475020108,0.12033695796329624,1.0254434043659444,0.5322482904803749,0.35870746487471905,0.4197220737522045,-0.2237287552008027,2.0671999999999997,0.14832681026888395,-0.5,-8.36990188766471,5.285647906804235,5.294964973364986,6.698242368159804,5.807872836915208,7.341252163652576,2.051980923559782,0.8207839623335822,0.8165098668041715,1.3514639532252737,3.1381593493394533,2.7831207477148734,-0.5693645077410991,3.0525672613404886,7.279241818057458,5.148531139180891,4.9731515863830085,6.7031276102275354,5.7466011755353765,0.020571880000000015,5.16469328958058,3.131385100986961,1.1227913730412542,2.236696699435292,1.8013511882029043
1983-04-01,0.620000000000001,0.5200000000000014,1.4567035990841202,0.7820998344232363,1.3762316391524365,0.09367682183860637,1.4790445142510933,0.8979407834225128,1.0632035829599928,0.9312826968335131,1.0395881713057165,1.0174349051274234,1.0117303396329547,2.1847000000000065,1.455393735191457,-0.20000000000000107,-7.376615023960831,5.351821818913577,5.1147253352526505,6.837580998600328,6.010600856665247,7.452138718292378,2.4727475867712734,2.1557842518571846,2.1939484165160117,2.327914457693492,3.156158496938355,2.6238495727745725,-0.5788332841896171,-3.6936899739589357,7.4711676736597505,5.30498404614534,5.202203018649366,6.836141504483227,6.079445803213701,0.02992260699999999,0.5679489065879118,4.069631192652601,2.162261253679265,4.217833728277398,2.923076856047846
1983-07-01,0.5,0.2599999999999998,2.9958322294348094,1.3165500095938698,1.949080424117433,0.13723413045205746,1.7244326186208525,0.860411775927794,1.5952827436811035,1.159661888120489,1.352713876421241,1.4274119025563081,1.1025226892627416,2.925299999999993,1.3649428043583711,-0.9000000000000004,-5.334598070529317,5.460401716866524,5.00600621151666,6.867594076798941,5.971180856091602,7.464229264800946,4.091332646627599,5.661251763386899,3.8458157727533138,3.8661679830960693,4.079956016877517,4.324860286854859,-0.9637498711888348,-0.44676897405766525,7.360231518964376,5.229020457328519,5.1515214814652746,6.699386777260568,5.990453083388952,0.05126437499999997,0.43469929348223246,1.3019807565536112,1.210302217124326,0.9751038406974999,3.086056731317832
