,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,"Housing Starts, Northeast","Housing Starts, Midwest","Housing Starts, South","Housing Starts, West",New Private Housing Permits (SAAR),"New Private Housing Permits, Northeast (SAAR)","New Private Housing Permits, Midwest (SAAR)","New Private Housing Permits, South (SAAR)","New Private Housing Permits, West (SAAR)",New Orders for Consumer Goods,New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Sentiment Index,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
2000Q1,0.006902562730687789,0.007814922482018316,0.014328137084739456,-0.006171347477348044,0.02649429284979332,0.007295471735675241,0.007118804189489847,0.0072283489528968126,0.0037979190026123932,-0.006901042184594863,0.008394266736205802,0.020955063041527833,0.007529940536564528,0.01352139330554536,0.0022660660497870744,0.008823439574597414,0.047078276374866945,0.0006551295572784221,0.0010545480448405087,-0.0035875080621542432,0.001174054334172947,0.001039628237916368,0.0006097560975609762,-0.030231430994789754,0.09238171408259377,0.02468146771257207,-0.048740245261984505,0.01075784336561969,-0.10057352775799389,-0.04613022693068147,0.004546171804254762,0.0031297237352136964,0.00234516311489541,0.008777367379562362,0.001041368692911604,0.0023043599271681536,-0.0010874149404977995,0.004874204938415394,0.0029550250053826943,0.0029949877390587076,0.0029461962136732023,-0.0002571849652275304,0.007866309622074352,2.3795501460477375e-05,-0.0395918367346938,-0.002409638554216942,-0.014832855455757299,-0.07372726294263277,0.027689873417721556,0.020365819335086077,-0.047704386414063826,-0.04449803633297322,-0.09469696969696972,-0.02917771883289122,-0.014814190138865424,-0.08513498438197231,0.005842623569406458,-0.04196564629610777,-0.020325230325883514,0.0016164269086675898,0.009315019133324665,0.00020703933747412417,-0.01302325574665153,0.00941089474653678,-0.0006158896584624873,-0.10451843810793093,-0.10042303937520336,0.02241184039753019,0.024460181044544616,0.016460235798104295,0.0020860495709844606,0.012647565874697952,0.01874825669388136,0.0006271666601219694,-0.0409124526423329,0.07231855516595398,0.03752443186790755,0.06845830793199226,0.06272727272727274,0.016339869281045694,-0.011748539395373347,-0.06089832163451803,-0.01285347043701801,0.004848260172585217,-0.4689542483660132,0.27350427350427353,-2.2,-0.5135546756015841,-0.4750815090824405,-0.828120096244377,-0.2246285902938263,-0.12673611111111105,0.045598975597733515,0.010700043031378725,-0.037190639478176135,0.008410051388246798,0.015479480537482715,0.019956435546635953,0.01576135517498134,0.05914566251644904,0.09823675339994731,-0.005620486860716256,0.01001702512073921,-0.0030622039889033337,0.030036217303822887,0.008199489333662768,0.016297570951169682,0.0016012728524283926,0.005721049783549814,0.010561700954547115,0.011637721295422843,0.010303796127673515,0.007442514037067305,-0.0008302801183135422,0.020054412140929623,0.004762068153784771,0.005987155088285512,0.009911244614192904,0.002829354819012364,-0.04398584905660374,0.03227036388435045,0.005378169536200295,0.005572453506815678
2000Q2,0.011819197564475026,0.01045651374227119,0.005588981257281467,0.00961375702955769,-0.006309399318113806,0.009903511844779,0.009894516937734243,0.012778911158989104,0.011076510133071205,0.0055062426952935395,0.013425281454394256,0.021612221265173703,0.009939766620345347,0.02205005395881776,-0.007695111849780889,0.008124902634538689,-0.02536288222813865,-0.004004504278203869,-0.07827779901623888,-0.058396783684115716,0.0011083847767983102,0.0017689260934334872,0.002631578947368318,-0.03130253879555367,-0.06975812392580527,-0.01097199976113461,-0.05076009031247519,-0.07238058412900161,-0.02418301761082342,0.058747994169936923,0.0034550724579853753,-0.0013345234426337393,0.011488041274752003,-0.004846807215981297,-0.0003457267915367712,0.0034036607817600206,-0.006696943015449652,0.004561675582200442,0.0007339063777689336,-0.003681914256338903,0.002269807366505061,-0.0005149827605049895,0.007618083373399531,-0.004842384547201206,0.0017368649587494733,-0.002357282274969119,-0.027808333088674697,-0.03687150503872483,-0.025370600297232815,-0.051882861163388916,0.09638596270399702,-0.04772629409589535,-0.08251568383029606,-0.1352133255856225,-0.029060238637275804,0.014164603924335273,0.009333142164299701,0.1472596695930659,0.1351208909240238,0.05117666833980772,0.02037181979773317,0.014440621415910737,-0.004359117940055723,0.013073445891462088,0.006096702150842903,-0.005584048323777235,-0.015815968838204797,0.03522680591803251,0.043347232314080886,0.03318316855018888,0.017863613561699854,0.014588231934660412,-0.00485268966425878,-0.016184722622029968,-0.0499262244241504,0.1120553728876863,0.09123732046970834,0.0004246329794637127,0.021764859232763722,-0.007262187905096251,-0.026528945201992116,-0.020800812790101042,0.0005531224130512769,0.015917027678535645,0.22991452991452976,2.333333333333333,,-8.187110187110187,-1.4283882783882784,-11.269249163079866,-0.39023500562450897,-0.20906867182868072,-0.011532602746025522,-0.0011641371193740202,-0.04467334838940651,0.011287344910144825,0.005846328792425637,0.007317892659566283,0.007022103787539535,0.10163205024833222,0.08523806837021997,-0.03637040041260109,0.007011738695632319,-0.007691754659001071,0.009313754909339389,0.010056139218458382,0.0033832625381921,8.242235617572646e-06,0.009294620147782373,0.007563552979960475,0.0066802863454418215,0.00661311044279822,0.0033882139235675846,-0.004526373784428661,0.0033725637163938282,0.00507749642418176,0.007931740495138895,0.006366071605601542,0.0091534826330808,-0.005499614897032323,0.04603897602478657,0.04104747187539126,0.01435686523461066
2000Q3,0.011719449333118304,0.012143389501402924,0.014098151420317784,0.004834632527832894,0.015124558049180892,-0.00044191843514163054,0.0006907865145315828,0.00204307829071948,0.0004599086335006497,-0.014860290175517599,0.006498554918557775,0.011021065284094411,-0.0018764660270536027,0.004905379131821763,-0.021622603892016423,-0.001101833759186488,0.013783497690750601,-0.012953217586065047,-0.0034703296127562844,0.004390387899868675,-0.000508297564713156,-0.0003369188339902296,-0.02378048780487807,-0.002146104418350836,-0.002355574855158138,0.0006764273054635783,0.04468968249309968,0.04923941135535104,0.040139406035135994,0.0337872983109232,0.002240133832620561,-0.0012125611295299432,0.013253293053530735,0.00427355490949588,-0.003814589565755089,-0.0030208459793081843,-0.005169895628742371,0.003033016460407101,0.0013770984072468684,-0.0066711648245668664,0.0039114447811841035,0.004503149159839959,-0.007290348564038429,-0.0024209584111785087,-0.021276595744680993,-0.004795939204760846,-0.03032642369489713,0.07036114570361163,0.04973853003409656,-0.1025459973935976,0.033673013884321534,-0.0010009470152230193,0.05891534794075881,-0.044278232202545786,0.0206347067073801,-0.02106862745098026,0.007732935685243358,-0.08209883988316746,-0.005245620417200114,0.015328936251261194,0.007827083320877337,0.00034823332695665954,-0.0026286951518599277,0.016965941484474945,0.008822280053755405,-0.00492964403555296,-0.005036728873538787,0.009337615672835753,0.024219095323954276,0.037267602024632085,0.018669922839952058,0.004290158355343299,-0.024311037863334883,-0.02570917285809937,-0.04862007545379732,-0.0015078913060004862,-0.018314177451715263,0.05448542500954201,0.001864774172896544,-0.006229956352226451,-0.059917239990295856,-0.04970615527373967,-0.006407934175624352,-0.0152127480157781,,-0.33433457487284235,0.016395964070382685,0.19217995169082136,1.1283487044356608,0.5815086881680824,-0.032750795908690455,-0.0596464539144097,0.06964966987796117,0.006944684624576536,-0.05060549883685017,0.006352885447725942,0.006530140736105805,0.0072531867866676425,0.007739322849531716,0.009537558644701516,0.06918972676101964,0.0649528336333518,0.008114949624969947,0.001561190320619854,0.001418557700301415,0.011481607735165378,0.005374453384142552,-0.0015942609148731357,0.010227132384195814,0.008078148084133874,0.008435552279514535,0.007754793220450806,0.006741848663024963,-0.0044702152816217255,0.007154376484864389,0.008984168829528905,0.00982325292581887,0.01316856880175421,0.006976927536868294,0.003963700269460024,0.06103171566961896,0.05721133732203776,0.00988052800312278
2000Q4,0.0055294288786895684,0.004495967479033469,0.004884013460139003,-0.0070717889923885835,-0.006342410902528184,-0.006673079576693941,-0.0043149096977781465,-0.0018265157516880182,-0.0021515789321566725,-0.047161856532562996,0.014578636160258562,-0.009149895492188698,-0.009778533677587964,-0.01517809341879306,-0.025085964422386198,-0.012496247202598343,-0.036807498069937994,-0.024040143411423576,0.03225144167828409,0.03155378617299043,0.005114187933282999,0.005257792050709531,0.0,0.02542607544231479,-0.0367084872423179,0.045235906175635554,0.030625746920788788,0.07100180008428691,-0.0010075485853263677,0.1482833346993997,0.002733241047207735,-0.0027205370426022224,0.0015474401841287788,-0.002198679134259196,-0.002846518171029433,-0.001102831228790957,-0.005831004756791658,0.003978811702376905,0.0033971644463670625,-0.004829905517062527,0.003937851300736872,0.0051208442665398035,0.003324835160781303,-0.01724164761690128,-0.11166007905138342,-0.01946472019464729,0.016910934676615974,0.13293022786438013,-0.22120771557977992,0.05541509772278996,0.13742473014077916,-0.016069217881737208,-0.08867110453648919,-0.11154787438816482,-0.03871942934010364,0.13435287942614682,-0.011149961882181647,-0.05546121527412995,-0.02792577597494339,0.006866908503613711,0.010482244311342925,0.014334960813834008,-0.010121967516630526,0.014735702121834615,0.008963087486103305,-0.020533339204778178,-0.012933284588553695,0.011601204512332819,0.009271097362503977,0.026890074700950395,0.017015654757657872,-0.09596079432577864,-0.12068917384692968,0.09578822754285099,-0.12350334035788668,-0.01843082374449867,-0.02141312902399939,-0.03667652111788122,-0.04936156753286358,-0.08672447847213949,-0.13211839620231947,-0.09774523205978203,-0.05464614991929062,-0.0397928155783106,-9.2,0.47217194570135734,0.42781717888100845,1.026813186813187,0.8653956952076292,0.5637729007982171,-0.2889971730397263,-0.11753264795776608,-0.04101411144051115,0.04960208144483502,0.02078236474500661,0.024041126740319885,0.010754843734418484,0.012861901741083592,0.007660504479980013,0.12112686373472548,-0.1563839046775538,-0.020353914905630544,0.005749451235217418,-0.003090596124651901,-0.0006372509608587595,0.008710301560372669,3.1001802557328872e-06,0.0015968066416955917,0.009619812611745715,0.005149077868851215,0.004777906862875048,0.005325804063623263,0.004290050847430837,-0.002540043290056526,-0.0011153070520327768,0.007692393009260057,0.007796029361832768,0.008500495273857656,0.006942982906421813,-0.07785192210203162,-0.018252296715302374,0.06167445486497347,-0.005422675144190481
2001Q1,0.012087519878606123,0.009416706502648031,-0.00011356072559620678,-0.015597504902960857,0.0024820046798860185,-0.014066982430217867,-0.011996799297673166,-0.010563424786061315,-0.01479761559729209,0.002835790588639253,-0.020988313114792323,-0.012194485422907242,-0.016841557574892807,-0.01654702280595488,-0.01925706328386212,-0.013272572074394251,0.02260382506962466,-0.023999260388363308,-0.06320497723646612,-0.14811065831508052,0.004716834073230869,0.0012295266359388934,0.10073260073260082,0.02387401574803172,0.086068553921404,0.14085487280605713,0.13921057247494417,0.19125580880211213,0.08396243527549807,0.11753368720641733,0.00026393751324649273,-0.006769845686621534,0.015687066228343927,0.010272359357206495,-0.014210512209130388,-0.0156383701152234,-0.011754698817613596,0.0018578926460448564,-0.004688019371493768,-0.009936074439625409,-0.0021076096631013064,0.0059855394044412424,0.006763318599733559,0.005043672614371664,0.0017711962833912853,0.005011553398650226,0.03847296143803991,-0.049533468559837646,0.41907662386694033,0.023706078172937017,-0.10120262258870383,0.07760433874364281,0.07000481000480996,0.24952510176390752,0.07547848991701567,0.00022086923218289645,-0.021867582048777146,-0.03259371488961049,-0.10839253123630688,-0.015717646447264255,-0.008224032914578183,0.014280125195618054,0.018536340291639863,0.029559359557916887,0.020959551700936885,-0.019739433981761367,-0.01701588477844762,0.0062370020570728935,0.018336589511198653,0.02270110555217042,0.004099526599212644,-0.11066472173017783,-0.12332535397057165,0.10117095521727781,-0.11240892574297146,-0.18035168457700546,-0.26083581558130975,-0.2541418192360282,-0.2683010920182356,-0.24929503679503673,-0.10491322015056959,-0.06807155313749869,-0.03221619075577775,-0.022600093516159547,6.019250253292806,0.5114164699390851,0.5083499294664343,0.4017212725546059,-0.4370499419279906,-0.7405706152552243,0.857779901258162,0.4872417343005575,0.004040365333569329,0.08136814545962257,-0.012448042678026572,0.024335510229946733,0.005019306426317538,0.0071493249839224005,-0.0022478925604255684,-0.036319568239936095,-0.039672849499667096,-0.026858351357921806,0.008573463007597537,0.00309777013131618,-0.005796064279284252,0.014240751037475574,0.0006684185619582061,-0.0007930093468606625,0.014033424445553111,0.008539618822114514,0.007141079670110351,0.008240892300205749,0.006482367879124595,-0.007214148877770055,0.0006083286812784694,0.011457158103858278,0.008370923343335113,0.008984088713504201,0.005516799468921918,-0.07096246575415666,0.006125505455603197,0.02280809892459268,0.00321293152057589
2001Q2,-0.005291589391719698,-0.008652507936809162,0.004234941331983544,-0.01287090739617347,0.0143242943567643,-0.014177474415031033,-0.01129276098903409,-0.009834579309552782,0.003747088399201015,0.0040328266553433245,0.0035762657886284632,-0.05083709051152163,-0.018180926114269247,-0.01797635497894512,-0.023179126991767274,-0.015317108283495195,0.013940640345649902,-0.024371145743372846,-0.08650275695663168,-0.13887773872810671,-0.003942745729176744,-0.006617895942662599,0.04704016913319242,-0.005856771527592675,0.056972158764754255,-0.015653173452901514,0.007510534754037623,0.0055839196486459075,0.03721351294966169,0.02583728515749928,-0.003445476888891963,-0.018301216621491534,0.0016831157711609812,-0.003206635467975727,-0.025184120793520504,-0.02918015150888531,-0.01836644949037103,-0.00011872073512964043,-0.0070110240158633985,-0.008747143063393525,-0.005801998597777636,0.002407984089888293,0.009142313424034931,-0.0024937655860349794,-0.024390243902438935,-0.004944383327221691,0.029738721899854936,-0.06545004253699316,0.0019672445780820613,0.08926030704693988,0.02186341727569563,-0.019804254236761465,-0.044717465045089666,0.04197862319119805,-0.010834744705712551,-0.07252633959347532,-0.005178574904881272,-0.030396497567816594,-0.06905390877521367,-0.015577435490690683,-0.010897456960493712,0.00014434798917561942,0.015530109775073075,0.019924050438317242,0.010864668330004434,0.014326209424019298,0.011685219542362235,-0.018346908855991773,0.018168574187216846,0.021011997538402216,0.02015154607304992,0.04612417089603327,0.04459661258525638,-0.05858076380687294,0.08754344617599075,-0.275968990297516,-0.2529618485994325,-0.22494547455435054,-0.20716887542673668,-0.17757991384262262,0.03723558388872805,0.07935471340669198,0.02892946140452224,0.016945160964013772,-0.4624242424242423,-0.5070882555908449,-0.5752613391302841,-0.7567518237927026,-19.773631840796018,0.7712339172957314,0.7626668740441196,0.5091876831854636,0.055076301691446394,0.007254084673140815,-0.029674808317852297,-0.022069177580089416,0.004264694992512252,0.004252143381215934,-0.0007610279107679307,-0.09549132406666916,0.014802106686015892,-0.034294602802448115,0.009061681498871987,-0.016278859648594435,0.02007535258132298,0.011094907010156696,0.009284712544225249,-0.006392348613216359,0.009396192808371007,0.009583883143911232,0.008843690495297762,0.009329506232305995,0.006156420963300713,-0.004929080080122938,0.011129425509403879,0.006698284827522771,0.0095802376505707,0.0033829529531854696,0.010934193247153834,0.013365939610122002,0.06554646026741018,0.034978066452511,0.019618484566417793
2001Q3,-0.0007817353346196709,-0.0021918775465455953,-0.004938069361626218,-0.008947606040761169,-0.015305614850924076,-0.012294825264024256,-0.015334630678198624,-0.017986365642969182,-0.00841356942174798,-0.012781624167770955,-0.006755442471263806,-0.044300603187246934,-0.008146733585116639,-0.019342804603109442,0.010782173851125343,-0.01308737788166503,0.011146610289559211,-0.01975946149319463,-0.06372013769739227,-0.15220103178493327,0.0044164159741140185,-0.0001679992547478637,0.10784777679187618,0.03923698644156648,0.02002463902904572,0.15453132144490178,0.25263729484091924,0.33915914014775317,0.16518939171000901,0.09497892281143883,-0.004018811032813763,-0.018008025715742892,-0.004667052889541723,-0.003949343650749948,-0.02429444687661797,-0.026131391621188937,-0.021184717421375288,-0.0009412811072437854,-0.0064448240644749966,-0.005929090633550627,-0.0043962278982043745,0.0015234294232602252,0.004959720385735,-0.007462811570289163,-0.02261904761904765,-0.0024263834052487,-0.04408506108442556,0.07142603426900507,-0.14671775855785618,-0.03590741115076501,0.03327591640886973,-0.03754162665136296,-0.008681512484060572,-0.0852129765169165,-0.027964968501162146,-0.021347871169204335,-0.006288957674895679,-0.07050120625977141,-0.12125000093983218,-0.027300907611345737,-0.013635131338854078,0.00014705560480210433,0.06945119248884368,0.03350792553249593,0.03117284671052456,0.4925557921311521,0.413996158256537,-0.012103760815647457,0.00809613321778091,0.02444586200731602,0.02913304873115008,-0.16278797463325334,-0.16438253410058945,0.1819766447072486,-0.06269359029780974,-0.24111218206898022,-0.24311255125913722,-0.25129009799496915,-0.24698471432976532,-0.2175831644570806,-0.148779248116357,-0.10739221356359296,-0.0010240369192889842,0.00787347457423937,0.030952380952380953,0.1398099027409372,-0.03739316239316226,-0.026495726495726624,0.2491687056904449,0.2776723458293795,0.2663223731212996,0.23095238095238102,-0.087349279535479,-0.03030330676592108,0.043470651479420086,0.028260105484415377,-0.003441668931769115,-0.004765786923504267,-0.012228335010337044,-0.10928606634742488,-0.06098466471643815,-0.06905699012257327,0.0022576464012475927,-0.012601678389340898,-0.007925972332752051,0.010248041616007564,-0.0019180076860517703,-0.005628312415595693,0.004907501071481413,0.0011308241214814663,-0.0005671817127868017,0.0017475435472779077,-0.003854958288619259,-0.013164385893764896,-0.0006209366084086732,-0.0030328773051336855,0.007590573123222422,0.0016780856184577253,0.010148054824537622,-0.11791101591583131,0.06654255416653077,0.027334298728903583,0.030645703588582984
2001Q4,-9.194516542798681e-05,-0.0059979411877977284,0.021063407246783794,0.02681611631476377,0.02976383145437589,-0.009422704311327967,-0.005544496697194146,-0.004133891494654374,0.009267109264310402,0.031168683770585015,0.0014310177311874783,-0.032639336274940534,-0.01495958988803292,-0.013853866692058459,-0.020205477052357423,-0.006152305699260396,-0.009511599624757672,-0.010849166138888866,-0.097029511428953,-0.23175516508453164,0.0021931065269649164,-0.005848654702216849,0.1340994854202402,0.09674974148658388,0.0726785506720401,0.18087318556674914,0.23540205780813683,0.15779811764931084,0.3446949646974713,-0.032593704672864376,-0.005930891970890362,-0.018897113425265566,-0.013561465339218648,-0.004113045686526373,-0.025404109327052615,-0.030358736880245374,-0.01709044052316344,-0.0031259404144746705,-0.009334473603625049,-0.008435120159288823,-0.006391684688333399,0.002274014820595749,0.00531054826765498,0.0050441761769177695,-0.05195681511470973,6.203396980097864e-06,0.004951762555813755,0.04153334740732961,0.1820918786585004,-0.03784967491322955,-0.021261903614844813,0.07248250603646578,0.1460852790460686,0.07094440725657403,0.101981338611415,0.0015827342084429041,0.016738674546469268,0.009244073626810456,0.005416848028108823,-0.015822459593806792,-0.033792987774909466,-0.03492063492063491,-0.01821067840909585,0.015925022311110704,0.0198753157553353,-0.30165364957064233,-0.2550903851735148,-0.03569270000929481,0.025874371926818185,0.04104771564533172,0.039313703739144,0.09339720607769442,0.10520003313764947,-0.089992237200054,0.27236551984129953,-0.4787542545851625,-0.41529952641613865,-0.41233412556941973,-0.36031538634139926,-0.21978792379844925,0.07016784563740364,0.0783024878956956,-0.056755057183798696,0.0031436483656900327,-1.5693236714975844,-0.9749823819591261,-1.401047151047151,1.5219444444444448,1.0433458909485278,0.761125028962002,0.19655120330722342,0.23725332815024536,0.013908252801598353,0.0741891406860462,-0.015388047158501617,0.007050797447250234,-0.023484654526143456,-0.02906908826789023,-0.024936527014740695,-0.1071102341353024,-0.2734564517053749,-0.01955405317073111,-0.003933854911288837,-0.007166891067819758,-0.044188184878056425,0.010862195034303301,-0.02192606541240183,0.0008071025020177647,0.007805149279822787,-0.005600066633242751,-0.010585940392926152,-0.005212037235175049,0.001813182561968496,0.0011734640485614456,-0.02858873822604302,0.012565872810011758,0.010663105489688629,0.011058662130940977,0.008041588937487187,0.08391558364971052,0.14875798755920033,0.05050409649137144,0.05025194340545469
2002Q1,0.0013589630057566637,0.0006226476952283511,0.005375418120506015,-0.0022644064274925935,0.001980304726001525,0.01461515799827906,0.007771164543145415,0.006658785917872501,0.012197614796904732,0.017748819400158933,0.010203216430708428,-0.0007032829154228759,0.024249310719071104,0.03003184640600831,0.024065127691223154,0.013499725377425054,0.03257162835664973,0.010656012444336116,-0.013894807378008411,-0.01954869181883967,0.0012381563559150655,0.0009748624532177619,0.0,0.06086793338024865,0.01275485736453108,-0.08484829026301577,0.10902642811713026,0.05419608582037627,0.17307936068202578,-0.0020666847004132682,-0.002016591653124844,-0.013395243159921466,-0.0171338361165968,-0.0044280285741595815,-0.017152463649397598,-0.020514796531136192,-0.011568710431959839,0.00040806649782898496,-0.0030931395403769324,-0.004895466879933363,-0.0017022198585472381,-0.0006296594538809375,0.003555117476508274,6.297149909850752e-06,0.10533610533610527,0.00746268656716409,0.05781608890515788,0.18227787632036063,0.016693722943722955,0.07058412989715823,0.049779157040336086,0.01062338119556927,-0.05044206091848902,0.004813432426721831,0.015961392123668205,0.05179116833227637,-0.01993346481972713,0.017220733953383194,-0.03430673610554236,-0.010113689366430423,-0.009285958697703323,-0.014440621415910515,0.008522522335068783,0.011259930355257852,0.0050567428825103455,-0.01596431948315935,-0.015723942755647702,-0.009693023678442048,0.008117204354214036,0.01876355211080627,0.012084435108922986,0.009461168161113975,0.00020151275281510284,-0.006610601662133453,0.17682824156959676,-0.04941732906652185,0.035676759889788356,0.05945327778959275,0.12283433264793253,0.15784674809338484,0.08171946989350676,0.039739581973765814,0.0074797718419342685,0.008064444318475306,-5.666666666666666,-5.134615384615385,,0.9288205980066444,0.172188364212025,0.08981016042928802,0.028353447573677748,0.024580810549479692,0.0108759156429169,0.027795401099326766,-0.012736029668644067,0.00572525344851238,0.005801837643270025,0.008704078193461307,0.002408139198144421,0.08587617067873454,0.2494217076492793,0.039574510990119105,0.0061883209422788354,0.0032224920078408603,0.008756396313841952,0.011461980745729239,0.00472016183411994,-0.017027453660996228,0.008709033312701342,0.006174426611744943,0.004734779231026387,0.006383213021706524,0.005299104965253099,-0.01018830424281314,0.011628258146018755,0.006372136062709588,0.0074538352263373575,0.0076655530529827764,0.00930017634863245,0.07769290612232616,0.00946892425476531,0.0067356054003041566,0.011084370541789679
2002Q2,0.006457988170387896,0.005410047864600642,0.004825574439996538,0.016833148119565378,0.011136140943280859,0.01734201489102105,0.01237291878703517,0.011525325167998202,0.01290631724479796,0.03038706429694704,0.0060285936315324085,0.007116973685658001,0.024326374778903315,0.030249030948095612,0.028936449377972906,0.017790187081597297,0.006980835197495705,0.01661377926667007,-0.05608703143519822,-0.06463225522659188,0.0022636249108942685,0.0017512758214109914,0.018138566755872776,0.09506878601970636,-0.12297841852168911,0.047373073341584915,0.10811190672846105,-0.00573319544119244,0.21835742121732715,-0.0671346815347117,-0.0002903403302920715,-0.009109307634460162,-0.014770587439492666,-0.007993158567914938,-0.009418622143716138,-0.010231502001608828,-0.008078953017240154,0.0015652132339759595,-0.001178109249602599,-0.001601028099188384,-0.0022933465303817124,0.0011349465472320075,0.005497888031360532,0.005037531484571978,0.04878048780487809,0.004932189989661273,0.05094554016058184,0.15249896700828136,0.07957667036132976,0.055272768285850704,0.03515622633699167,0.03962604644730672,0.16140210047494807,0.018290457885442812,0.04532319014613173,0.005052931310621567,0.030872921327483427,-0.00982042013063289,-0.018391359490810943,-0.024639935514123135,0.004043941976889176,-0.014598540145985384,2.2118970455453635e-05,0.009313577331941714,0.0032026153031783355,-0.04196521201016801,-0.04199053631597505,-0.02762720222554793,0.02483571488669445,0.016624197382066885,0.00405817729598501,-0.12611089208831283,-0.1393475348136607,0.15204095320784727,0.012680726458563885,0.011560693641618602,-0.048894928065612686,-0.050337871459846806,-0.10888440860215054,-0.15126859732567044,-0.12021108868883645,-0.06742814815115405,-0.02659921162462664,-0.019697700110740013,-1.2035714285714287,-0.6666666666666667,-1.359675183204595,-0.5590345727332029,-0.2012063153863327,-0.10725166007998543,-0.039775535543087104,-0.028201859991278888,-0.08231923726167001,-0.06023605105708785,0.0420691688631567,-0.03556579337977073,6.770714727100113e-06,-0.0007100977143487119,0.00711651452477613,0.01397162679053654,0.04879281844180028,0.00202444667137347,0.006154344749363272,-0.01121094927997801,0.015256249659604704,0.011330197727452251,0.004711409395973143,-0.004107118618457917,0.006719491119339782,0.007809758180411075,0.005893114037514469,0.005769365886945987,0.006089168855914373,-0.00420475577729329,0.008455292524571778,0.007393331197738551,0.006783291961072191,0.005439226810284747,0.007903006418238157,-0.03271731075620499,0.01097374725780409,0.027916987857732112,0.022127638791871407
